"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3594163,142,"The Qualmark rating was too high"
3592719,139,"Poor standard of cleanliness/dirty"
3593108,129,"Poor/old facilities"
3593108,131,"Too expensive"
3593108,132,"Poor standard of cleanliness/dirty"
3594163,141,"Poor/old facilities"
3594163,143,"Poor customer service"
3594163,145,"No free internet"
3594163,147,"No air-conditioning/heating inadequate"
3594163,148,"Noisy"
3593117,143,"No free internet"
3593117,145,"No air-conditioning/heating inadequate"
3592736,144,"No air-conditioning/heating inadequate"
3594199,155,"No free internet"
3592736,145,"Another reason"
3593117,146,"Another reason"
3594163,144,"Poor standard of cleanliness/dirty"
3593117,142,"Poor customer service"
3594199,153,"Too expensive"
3594199,154,"Poor customer service"
3592737,150,"Poor/old facilities"
3592737,151,"Poor customer service"
3593126,135,"The Qualmark rating was too high"
3593791,139,"The Qualmark rating was too high"
3593224,158,"The Qualmark rating was too high"
3593126,134,"Poor/old facilities"
3593126,136,"Too expensive"
3593791,140,"Too expensive"
3593224,157,"Poor/old facilities"
3592737,152,"No free internet"
3592737,153,"Noisy"
3593959,152,"Noisy"
3593224,160,"Another reason"
3593224,159,"Poor standard of cleanliness/dirty"
3593959,150,"Too expensive"
3593959,151,"Poor standard of cleanliness/dirty"
3594163,146,"Generally poor standard"
3593281,164,"Poor/old facilities"
3593117,144,"Generally poor standard"
3594199,156,"Generally poor standard"
3593281,165,"Poor customer service"
3594465,170,"Poor/old facilities"
3594465,175,"No air-conditioning/heating inadequate"
3592835,128,"No free internet"
3594465,171,"Too expensive"
3594465,172,"Poor customer service"
3594465,173,"Poor standard of cleanliness/dirty"
3592835,126,"Poor customer service"
3593281,166,"Poor standard of cleanliness/dirty"
3592835,127,"Poor standard of cleanliness/dirty"
3594465,176,"Another reason"
3592835,125,"The Qualmark rating was too high"
3594068,152,"The Qualmark rating was too high"
3594068,153,"Too expensive"
3594068,154,"Poor standard of cleanliness/dirty"
3594199,157,"Poor value for money"
3593126,137,"Generally poor standard"
3593791,141,"Poor value for money"
3594465,174,"Generally poor standard"
3592835,129,"Generally poor standard"
3592835,130,"Poor value for money"
3594068,155,"Generally poor standard"
3593281,167,"Generally poor standard"
3593281,168,"Poor value for money"
3592835,131,"Noisy"
3594068,156,"No air-conditioning/heating inadequate"
3593306,146,"No free internet"
3593306,147,"No air-conditioning/heating inadequate"
3594393,159,"No air-conditioning/heating inadequate"
3594533,143,"No free internet"
3594393,160,"Noisy"
3594533,145,"No air-conditioning/heating inadequate"
3593281,169,"Another reason"
3593306,148,"Poor value for money"
3594393,158,"Generally poor standard"
3594533,144,"Generally poor standard"
3594533,146,"Poor value for money"
3593306,145,"Poor/old facilities"
3594533,142,"Poor/old facilities"
3594393,157,"Too expensive"
3594445,138,"Poor/old facilities"
3594445,140,"Too expensive"
3594445,141,"Poor customer service"
3594445,142,"Poor standard of cleanliness/dirty"
3593306,150,"Another reason"
3594533,148,"Another reason"
3594445,139,"The Qualmark rating was too high"
3593435,153,"Too expensive"
3594614,142,"Poor/old facilities"
3594614,144,"Poor customer service"
3594614,145,"Poor standard of cleanliness/dirty"
3592901,146,"Poor/old facilities"
3593869,155,"Poor/old facilities"
3593869,156,"Too expensive"
3593869,157,"Poor customer service"
3593869,158,"Poor standard of cleanliness/dirty"
3593435,152,"The Qualmark rating was too high"
3594614,143,"The Qualmark rating was too high"
3593435,154,"Generally poor standard"
3593435,155,"Poor value for money"
3593869,159,"Generally poor standard"
3593869,161,"Poor value for money"
3594533,147,"Noisy"
3593306,149,"Noisy"
3593869,163,"Another reason"
3593435,156,"Noisy"
3592901,147,"Noisy"
3593869,160,"No air-conditioning/heating inadequate"
3594445,144,"Another reason"
3593037,136,"The Qualmark rating was too high"
3594445,143,"Poor value for money"
3594715,166,"Poor value for money"
3593869,162,"Noisy"
3594614,146,"No free internet"
3594614,147,"Noisy"
3594715,164,"No free internet"
3594715,165,"No air-conditioning/heating inadequate"
3594715,162,"Poor customer service"
3594715,163,"Poor standard of cleanliness/dirty"
3594128,135,"Poor/old facilities"
3593037,135,"Poor/old facilities"
3594715,167,"Another reason"
3593037,137,"Too expensive"
3594570,136,"The Qualmark rating was too high"
3593037,138,"Poor customer service"
3594128,136,"Poor customer service"
3593037,140,"Generally poor standard"
3594128,137,"No air-conditioning/heating inadequate"
3593037,139,"Poor standard of cleanliness/dirty"
3594128,138,"Poor value for money"
3594570,137,"Too expensive"
3594570,138,"Poor customer service"
3594128,139,"Noisy"
3593037,141,"Noisy"
3594570,141,"Generally poor standard"
3594570,140,"No free internet"
3594570,142,"No air-conditioning/heating inadequate"
3594748,153,"The Qualmark rating was too high"
3594748,157,"Another reason"
3594748,156,"Poor value for money"
3594570,139,"Poor standard of cleanliness/dirty"
3594748,152,"Poor/old facilities"
3594748,154,"Too expensive"
3594162,163,"Poor/old facilities"
3594748,155,"Poor standard of cleanliness/dirty"
3594586,147,"Poor/old facilities"
3594586,148,"Poor customer service"
3594570,143,"Noisy"
3594586,150,"No air-conditioning/heating inadequate"
3594586,149,"Generally poor standard"
3594749,143,"Generally poor standard"
3594749,140,"Poor/old facilities"
3594749,141,"Too expensive"
3594749,142,"Poor standard of cleanliness/dirty"
3593188,155,"Poor/old facilities"
3594162,164,"Too expensive"
3593188,156,"The Qualmark rating was too high"
3595067,157,"The Qualmark rating was too high"
3595067,164,"Another reason"
3595067,160,"No free internet"
3593188,158,"Noisy"
3595067,163,"Noisy"
3594736,150,"The Qualmark rating was too high"
3595067,156,"Poor/old facilities"
3595067,158,"Too expensive"
3595067,159,"Poor customer service"
3593188,157,"Poor standard of cleanliness/dirty"
3594736,149,"Poor/old facilities"
3594736,151,"Poor customer service"
3594736,154,"No air-conditioning/heating inadequate"
3593204,149,"No free internet"
3594162,167,"No free internet"
3594736,152,"Poor standard of cleanliness/dirty"
3593204,148,"Too expensive"
3594162,165,"Poor customer service"
3594162,166,"Poor standard of cleanliness/dirty"
3595132,155,"Poor/old facilities"
3595132,156,"Poor customer service"
3595067,161,"Generally poor standard"
3595067,162,"Poor value for money"
3594736,153,"Generally poor standard"
3594736,155,"Poor value for money"
3593204,150,"Generally poor standard"
3593204,151,"Poor value for money"
3593237,157,"No air-conditioning/heating inadequate"
3595234,158,"No air-conditioning/heating inadequate"
3593204,152,"Another reason"
3593237,153,"The Qualmark rating was too high"
3593237,158,"Another reason"
3594176,159,"The Qualmark rating was too high"
3595234,160,"Noisy"
3594162,168,"No air-conditioning/heating inadequate"
3593237,154,"Too expensive"
3593237,155,"Poor customer service"
3595234,155,"Poor/old facilities"
3595234,156,"Poor customer service"
3595234,157,"Poor standard of cleanliness/dirty"
3593487,149,"Poor/old facilities"
3593487,150,"Poor customer service"
3593553,147,"Poor/old facilities"
3594176,160,"Too expensive"
3594176,161,"Poor customer service"
3594176,162,"Poor standard of cleanliness/dirty"
3594162,170,"Noisy"
3593487,151,"No free internet"
3594176,163,"No free internet"
3594176,165,"No air-conditioning/heating inadequate"
3595132,157,"Generally poor standard"
3595132,158,"Poor value for money"
3593237,156,"Generally poor standard"
3595234,159,"Poor value for money"
3594162,169,"Poor value for money"
3594176,164,"Generally poor standard"
3595366,152,"Poor/old facilities"
3595366,153,"Too expensive"
3595366,154,"Poor customer service"
