"SurveyResponseID","AnswerNumber","WebsiteForPlanning","WebsiteForBooking","UsefulnessRating"
3557298,120,"www.lonleyplanet.com","www.lonleyplanet.com","6"
3557553,166,"Online travel blogs",NA,"7"
3557336,137,"Expedia","Expedia","Very Useful10"
3557298,121,"Online travel blogs","Online travel blogs","9"
3557336,136,"Pinterest",NA,"Very Useful10"
3557298,121,"Online travel blogs","Online travel blogs","6"
3557553,162,"www.tripadvisor.com",NA,"9"
3557352,106,"Travel agents in your home country over the phone","Travel agents in your home country over the phone","Very Useful10"
3557313,144,"www.tripadvisor.com",NA,"8"
3557361,120,"By visiting an airline outlet","By visiting an airline outlet","Not Sure"
3557553,165,"Essential New Zealand mobile app",NA,"9"
3557313,146,"Google+",NA,"Very Useful10"
3557553,167,"Travel guides/books about New Zealand",NA,"2"
3557361,121,"www.tripadvisor.com",NA,"7"
3557313,147,"Essential New Zealand mobile app",NA,"Very Useful10"
3557361,122,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557313,147,"Essential New Zealand mobile app",NA,"Very Useful10"
3557361,122,"100% Pure New Zealand www.newzealand.com",NA,"6"
3557313,145,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557313,145,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
3557553,163,"100% Pure New Zealand www.newzealand.com",NA,"4"
3557361,121,"www.lonleyplanet.com",NA,"7"
3557553,163,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
3557313,148,"Online travel blogs",NA,"Very Useful10"
3557361,123,"Online travel blogs",NA,"8"
3557361,124,"Travel guides/books about New Zealand",NA,"8"
3557361,124,"Travel guides/books about New Zealand",NA,"8"
3557329,101,"Google+",NA,"5"
3557553,164,"Facebook",NA,"7"
3557361,123,"Google+",NA,"8"
3557553,164,"www.i-SITE.org.nz","www.i-SITE.org.nz","9"
3557553,164,"www.i-SITE.org.nz","www.i-SITE.org.nz","7"
3557331,128,"Another source","Another source","8"
3557331,128,"Another source","Another source","Another source"
3557558,154,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3557368,94,"Travel agents in your home country in person",NA,"Not Sure"
3557558,154,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3557289,132,"Friends, family and colleagues",NA,"8"
3557558,153,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557331,127,"Travel guides/books about New Zealand","Travel guides/books about New Zealand","5"
3557331,127,"Travel guides/books about New Zealand","Travel guides/books about New Zealand","8"
3557558,151,"Friends, family and colleagues",NA,"9"
3557368,95,"Other publications e.g. magazines",NA,"Not Sure"
3557368,95,"Other publications e.g. magazines",NA,"Very Useful10"
3557558,151,"Airline websites",NA,"9"
3557289,132,"www.tripadvisor.com","www.tripadvisor.com","8"
3557331,126,"Friends, family and colleagues","Friends, family and colleagues","8"
3557289,132,"www.tripadvisor.com","www.tripadvisor.com","9"
3557558,152,"www.lonleyplanet.com",NA,"Not Sure"
3557558,152,"www.lonleyplanet.com",NA,"Not Sure"
3557289,133,"www.lonleyplanet.com",NA,"9"
3557289,134,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557289,134,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557558,153,"Facebook",NA,"8"
3557384,124,"Travel agents in your home country via the internet","Travel agents in your home country via the internet","Very Useful10"
3557346,111,"Friends, family and colleagues","Friends, family and colleagues","8"
3557384,126,"Travel guides/books about New Zealand","Travel guides/books about New Zealand","Very Useful10"
3557346,112,"Airline websites","Airline websites","5"
3557384,125,"Pinterest","Pinterest","9"
3557560,101,"Travel agents in your home country in person","Travel agents in your home country in person","7"
3557305,107,"Friends, family and colleagues",NA,"8"
3557560,102,"Google+",NA,"8"
3557305,107,"Another source","Another source","8"
3557347,98,"Travel guides/books about New Zealand",NA,"Very Useful10"
3557305,107,"Another source","Another source","Another source"
3557393,97,"Friends, family and colleagues",NA,"Very Useful10"
3557601,111,"Travel agents in your home country over the phone","Travel agents in your home country over the phone","9"
3557347,97,"Friends, family and colleagues","Friends, family and colleagues","Very Useful10"
3557347,98,"Online travel blogs",NA,"Very Useful10"
3557323,114,"Travel guides/books about New Zealand",NA,"5"
3557603,112,"Friends, family and colleagues",NA,"Very Useful10"
3557416,97,"Friends, family and colleagues",NA,"Very Useful10"
3557418,100,"Google+","Google+","Very Useful10"
3557348,107,"Travel guides/books about New Zealand",NA,"Very Useful10"
3557338,100,"Friends, family and colleagues",NA,"6"
3557348,105,"www.tripadvisor.com","www.tripadvisor.com","Very Useful10"
3557348,106,"Expedia","Expedia","Very Useful10"
3557436,125,"www.tripadvisor.com",NA,"Not Sure"
3557436,125,"www.tripadvisor.com",NA,"7"
3557436,124,"Friends, family and colleagues",NA,"Very Useful10"
3557340,94,"Webjet","Webjet","5"
3557603,113,"Websites of individual i-SITE centres",NA,"Very Useful10"
3557603,113,"Websites of individual i-SITE centres",NA,"Very Useful10"
3557436,128,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3557436,126,"100% Pure New Zealand www.newzealand.com",NA,"6"
3557436,130,"Travel guides/books about New Zealand",NA,"7"
3557436,127,"Twitter",NA,"Not Sure"
3557436,127,"Twitter",NA,"Not Sure"
3557436,128,"Google+",NA,"7"
3557362,93,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
3557608,118,"Airline websites","Airline websites","7"
3557362,93,"100% Pure New Zealand www.newzealand.com",NA,"Very Useful10"
3557355,105,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3557436,129,"Another social networking website",NA,"Not Sure"
3557608,119,"Another source","Another source","Another source"
3557436,129,"Another social networking website",NA,"6"
3557355,103,"Friends, family and colleagues",NA,"Very Useful10"
3557436,126,"Facebook",NA,"6"
3557355,104,"www.tripadvisor.com",NA,"8"
3557610,141,"Travel agents in your home country over the phone","Travel agents in your home country over the phone","6"
3557355,104,"www.tripadvisor.com",NA,"9"
3557441,100,"Airline websites",NA,"8"
3557610,142,"Travel agents in your home country in person","Travel agents in your home country in person","7"
3557355,105,"Expedia","Expedia","Very Useful10"
3557355,105,"Expedia","Expedia","Very Useful10"
3557610,143,"100% Pure New Zealand www.newzealand.com",NA,"8"
3557610,143,"Facebook",NA,"8"
3557370,95,"None of these","None of these","None of these"
3557610,144,"www.i-SITE.org.nz",NA,"8"
