"SurveyResponseID","AnswerNumber","TechnologyUses"
3557385,156,"Compare prices / find deals"
3557385,157,"Directions"
3557498,137,"General information about the region you were in"
3557385,153,"Maps"
3557385,158,"General information about a different region"
3557385,159,"See ratings by other travellers"
3557385,163,"Event information"
3557385,164,"Attractions / Activities"
3557385,165,"Suggested itineraries"
3557468,118,"Flights within New Zealand"
3557468,119,"Suggested itineraries"
3557392,137,"Check/confirm existing travel plans"
3557468,117,"Directions"
3557498,139,"Internet access"
3557385,161,"Accommodation in a different region"
3557498,138,"Maps"
3557498,141,"General information about a different region"
3557498,142,"Accommodation in a different region"
3557392,138,"Access to resources to assist you to plan"
3557392,139,"Maps"
3557392,143,"See ratings by other travellers"
3557392,144,"Accommodation in a different region"
3557392,145,"Attractions / Activities"
3557498,140,"Directions"
3557392,140,"Internet access"
3557392,141,"Information about Maori culture / cultural activities"
3557493,112,"Check/confirm existing travel plans"
3557385,160,"Accommodation in the region you were in"
3557385,162,"Transport/ travel options around New Zealand"
3557468,116,"Weather information"
3557392,142,"Overview of NZ regions"
3557512,143,"Weather information"
3557493,113,"Weather information"
3557512,144,"Maps"
3557493,115,"See ratings by other travellers"
3557493,117,"Attractions / Activities"
3557512,149,"Attractions / Activities"
3557401,115,"Check/confirm existing travel plans"
3557513,131,"Attractions / Activities"
3557493,116,"Transport/ travel options around New Zealand"
3557512,146,"Overview of NZ regions"
3557512,147,"Accommodation in the region you were in"
3557513,128,"Weather information"
3557401,117,"Weather information"
3557512,148,"Accommodation in a different region"
3557513,127,"Access to resources to assist you to plan"
3557513,129,"Maps"
3557401,116,"Access to resources to assist you to plan"
3557493,114,"Directions"
3557512,145,"Internet access"
3557401,124,"Flights within New Zealand"
3557401,125,"Attractions / Activities"
3557401,118,"Maps"
3557401,121,"General information about a different region"
3557401,122,"See ratings by other travellers"
3557401,123,"Accommodation in a different region"
3557515,152,"Maps"
3557515,156,"General information about a different region"
3557515,151,"Weather information"
3557515,153,"To meet other travellers"
3557513,130,"Directions"
3557401,119,"Compare prices / find deals"
3557401,120,"Directions"
3557515,150,"General information about the region you were in"
3557515,154,"Internet access"
3557518,113,"Check/confirm existing travel plans"
3557518,118,"Flights within New Zealand"
3557518,119,"Attractions / Activities"
3557515,155,"Directions"
3557518,115,"Internet access"
3557515,158,"Transport/ travel options around New Zealand"
3557518,116,"Accommodation in the region you were in"
3557529,137,"Overview of NZ regions"
3557529,139,"Information about amenities/services for the town you were in"
3557515,157,"Accommodation in a different region"
3557518,114,"Maps"
3557518,117,"Accommodation in a different region"
3557529,138,"General information about a different region"
3557549,168,"Weather information"
3557549,171,"Transport/ travel options around New Zealand"
3557549,172,"Suggested itineraries"
3557563,153,"Weather information"
3557563,151,"Check/confirm existing travel plans"
3557549,170,"Internet access"
3557549,169,"Maps"
3557563,152,"Access to resources to assist you to plan"
3557543,174,"Maps"
3557563,154,"Maps"
3557543,177,"General information about a different region"
3557543,179,"Attractions / Activities"
3557543,175,"Internet access"
3557543,178,"Information about amenities/services for the town you were in"
3557543,176,"Directions"
3557563,155,"Internet access"
3557543,180,"Suggested itineraries"
3557428,149,"Check/confirm existing travel plans"
3557428,153,"Event information"
3557428,152,"General information about a different region"
3557563,156,"Directions"
3557428,150,"Internet access"
3557428,151,"Directions"
3557564,123,"General information about the region you were in"
3557550,132,"Internet access"
3557550,133,"Directions"
3557564,127,"Internet access"
3557563,157,"Information about amenities/services for the town you were in"
3557564,124,"Check/confirm existing travel plans"
3557564,132,"Attractions / Activities"
3557550,136,"Attractions / Activities"
3557564,125,"Weather information"
3557564,129,"Overview of NZ regions"
3557564,131,"Information about amenities/services for the town you were in"
3557550,134,"Overview of NZ regions"
3557566,110,"Accommodation in the region you were in"
3557561,100,"Weather information"
3557564,128,"Directions"
3557561,101,"Internet access"
3557428,154,"Suggested itineraries"
3557566,109,"Check/confirm existing travel plans"
3557566,111,"Attractions / Activities"
3557435,124,"Check/confirm existing travel plans"
3557550,131,"Maps"
3557564,126,"Maps"
3557564,130,"General information about a different region"
3557550,135,"General information about a different region"
3557435,125,"Access to resources to assist you to plan"
3557582,119,"Access to resources to assist you to plan"
3557577,203,"Access to resources to assist you to plan"
3557577,202,"Check/confirm existing travel plans"
3557435,127,"Maps"
3557582,120,"Maps"
3557577,201,"General information about the region you were in"
3557435,128,"Directions"
3557582,121,"Internet access"
3557435,130,"General information about a different region"
3557435,131,"See ratings by other travellers"
3557435,133,"Accommodation in a different region"
3557435,126,"Weather information"
3557577,204,"Weather information"
3557435,129,"Overview of NZ regions"
3557435,132,"Accommodation in the region you were in"
3557582,123,"Information about amenities/services for the town you were in"
3557582,122,"Directions"
3557596,115,"General information about the region you were in"
3557582,124,"Attractions / Activities"
3557596,120,"Attractions / Activities"
3557577,205,"Maps"
3557596,117,"Maps"
3557596,119,"General information about a different region"
3557596,116,"Weather information"
3557596,118,"Directions"
3557598,145,"General information about the region you were in"
3557451,136,"Access to resources to assist you to plan"
3557451,138,"Maps"
3557451,141,"General information about a different region"
3557598,151,"General information about a different region"
3557451,135,"Check/confirm existing travel plans"
3557598,146,"Check/confirm existing travel plans"
3557451,142,"Attractions / Activities"
3557598,153,"Attractions / Activities"
3557451,139,"Directions"
3557598,148,"Information about Maori culture / cultural activities"
3557598,149,"Compare prices / find deals"
3557598,150,"Directions"
