"SurveyResponseID","AnswerNumber","TechnologyUses"
3592033,142,"General information about a different region"
3592033,140,"Directions"
3596657,107,"Compare prices / find deals"
3592033,144,"Accommodation in the region you were in"
3592033,147,"Flights within New Zealand"
3592033,146,"Transport/ travel options around New Zealand"
3596657,105,"Weather information"
3592033,148,"Event information"
3596657,109,"Information about amenities/services for the town you were in"
3592033,149,"Attractions / Activities"
3597290,122,"Check/confirm existing travel plans"
3597290,124,"Attractions / Activities"
3597290,125,"Suggested itineraries"
3592033,145,"Accommodation in a different region"
3595849,94,"None of these"
3597290,123,"Accommodation in a different region"
3596657,106,"Maps"
3596657,108,"General information about a different region"
3595872,153,"None of these"
3592034,109,"None of these"
3592049,119,"Information about amenities/services for the town you were in"
3595883,140,"Weather information"
3595883,141,"Accommodation in the region you were in"
3592049,118,"Directions"
3595908,102,"Internet access"
3597308,154,"Internet access"
3597308,155,"Information about Maori culture / cultural activities"
3595883,142,"Suggested itineraries"
3597308,156,"Directions"
3596677,123,"Internet access"
3597308,153,"Maps"
3597308,158,"Accommodation in a different region"
3597308,151,"Check/confirm existing travel plans"
3597308,152,"Weather information"
3597308,160,"Flights within New Zealand"
3597308,157,"Accommodation in the region you were in"
3595913,118,"See ratings by other travellers"
3597308,159,"Transport/ travel options around New Zealand"
3592051,134,"Overview of NZ regions"
3592051,135,"Transport/ travel options around New Zealand"
3595913,117,"Weather information"
3595913,119,"Information about amenities/services for the town you were in"
3592051,133,"Internet access"
3595913,115,"General information about the region you were in"
3596677,122,"Check/confirm existing travel plans"
3597308,161,"Event information"
3597308,162,"Attractions / Activities"
3596677,124,"Attractions / Activities"
3595913,116,"Check/confirm existing travel plans"
3595913,120,"Flights within New Zealand"
3592052,100,"None of these"
3596691,126,"Maps"
3595915,229,"General information about a different region"
3595913,121,"Suggested itineraries"
3596682,113,"Weather information"
3597323,142,"Weather information"
3597323,144,"Information about amenities/services for the town you were in"
3595915,225,"Weather information"
3595915,226,"To meet other travellers"
3595915,228,"Overview of NZ regions"
3596682,112,"Check/confirm existing travel plans"
3597323,141,"Check/confirm existing travel plans"
3596691,125,"Check/confirm existing travel plans"
3597323,145,"Flights within New Zealand"
3597323,146,"Attractions / Activities"
3595915,230,"Attractions / Activities"
3596682,111,"General information about the region you were in"
3592066,118,"Event information"
3596707,172,"Check/confirm existing travel plans"
3595917,125,"None of these"
3592069,94,"None of these"
3596682,114,"Internet access"
3597323,143,"Compare prices / find deals"
3597338,98,"Maps"
3595922,156,"Maps"
3596691,127,"Internet access"
3595915,227,"Internet access"
3592066,117,"Directions"
3595922,157,"Information about Maori culture / cultural activities"
3592082,127,"General information about the region you were in"
3597355,116,"Internet access"
3597355,122,"Event information"
3597355,123,"Attractions / Activities"
3595922,160,"Attractions / Activities"
3595922,161,"Suggested itineraries"
3592082,129,"Maps"
3595922,159,"See ratings by other travellers"
3597355,118,"See ratings by other travellers"
3597355,120,"Accommodation in a different region"
3595922,155,"Weather information"
3596707,174,"Internet access"
3596707,173,"Weather information"
3592082,128,"Weather information"
3595922,158,"Directions"
3597355,117,"Compare prices / find deals"
3597355,119,"Information about amenities/services for the town you were in"
3597355,121,"Transport/ travel options around New Zealand"
3592082,131,"Transport/ travel options around New Zealand"
3597372,120,"Weather information"
3597372,121,"Maps"
3597372,124,"General information about a different region"
3596750,119,"None of these"
3596757,132,"None of these"
3597372,125,"Attractions / Activities"
3592101,132,"Weather information"
3595924,150,"Check/confirm existing travel plans"
3597374,138,"Accommodation in the region you were in"
3597374,139,"Attractions / Activities"
3592082,130,"Compare prices / find deals"
3597372,122,"Internet access"
3597372,123,"Compare prices / find deals"
3592101,131,"General information about the region you were in"
3595924,151,"Internet access"
3595924,152,"Directions"
3592101,134,"Directions"
3592101,136,"Information about amenities/services for the town you were in"
3597375,108,"Transport/ travel options around New Zealand"
3592102,158,"Check/confirm existing travel plans"
3597389,156,"Check/confirm existing travel plans"
3597375,107,"Internet access"
3595940,160,"Event information"
3592102,161,"Directions"
3597389,155,"General information about the region you were in"
3595940,159,"Information about Maori culture / cultural activities"
3597389,160,"Information about Maori culture / cultural activities"
3597389,161,"Compare prices / find deals"
3592102,159,"Weather information"
3597389,158,"Weather information"
3597389,163,"Overview of NZ regions"
3592101,133,"Maps"
3592101,135,"General information about a different region"
3592102,160,"Maps"
3595940,158,"Maps"
3597389,157,"Access to resources to assist you to plan"
3597389,159,"Maps"
3597389,164,"General information about a different region"
3596766,131,"None of these"
3597389,165,"Information about amenities/services for the town you were in"
3597389,166,"Accommodation in the region you were in"
3597389,168,"Transport/ travel options around New Zealand"
3597389,162,"Directions"
3597405,147,"Internet access"
3595972,130,"Internet access"
3595972,129,"Weather information"
3597405,149,"Information about amenities/services for the town you were in"
3597389,169,"Flights within New Zealand"
3597405,148,"Directions"
3596791,151,"General information about the region you were in"
3596791,152,"To meet other travellers"
3592116,108,"General information about the region you were in"
3597406,146,"General information about the region you were in"
3592116,109,"Weather information"
3597406,147,"Weather information"
3595983,142,"Internet access"
3592118,106,"Weather information"
3592133,109,"Weather information"
3596800,147,"Accommodation in the region you were in"
3592102,162,"Attractions / Activities"
3597389,170,"Attractions / Activities"
3597389,171,"Suggested itineraries"
3597405,145,"Check/confirm existing travel plans"
3595972,128,"Check/confirm existing travel plans"
3597406,148,"Attractions / Activities"
3597389,167,"Accommodation in a different region"
3597405,146,"Maps"
3592116,110,"Maps"
3592118,107,"Maps"
3596800,145,"Maps"
3596800,146,"See ratings by other travellers"
3596800,148,"Accommodation in a different region"
3596802,177,"Check/confirm existing travel plans"
3596008,115,"Weather information"
3596008,117,"Accommodation in the region you were in"
3592150,151,"Weather information"
3596017,120,"Weather information"
3597425,107,"Weather information"
3597425,109,"Information about amenities/services for the town you were in"
3597425,110,"Accommodation in the region you were in"
3597425,111,"Transport/ travel options around New Zealand"
3596802,178,"Weather information"
3597425,112,"Attractions / Activities"
3596802,185,"Attractions / Activities"
3596802,186,"Suggested itineraries"
3596802,183,"Information about amenities/services for the town you were in"
3596008,116,"Maps"
3597425,106,"Access to resources to assist you to plan"
3597425,108,"Maps"
3596802,179,"Maps"
3596802,182,"General information about a different region"
3596802,184,"Accommodation in the region you were in"
3596008,114,"General information about the region you were in"
3597425,105,"General information about the region you were in"
3596802,176,"General information about the region you were in"
3596017,121,"Internet access"
3596802,180,"Compare prices / find deals"
3596802,181,"Directions"
3592150,153,"Internet access"
3592150,152,"Maps"
3592150,155,"General information about a different region"
3592150,156,"Accommodation in a different region"
3592150,157,"Attractions / Activities"
3597439,99,"Information about amenities/services for the town you were in"
3596040,103,"Suggested itineraries"
3597439,98,"Maps"
3597457,105,"None of these"
3592150,154,"Directions"
3592152,140,"General information about the region you were in"
3596811,106,"Maps"
3592152,142,"Maps"
3596811,107,"Directions"
3596042,131,"Internet access"
3596811,105,"Weather information"
3592152,145,"General information about a different region"
3592152,150,"Flights within New Zealand"
3592152,151,"Event information"
3592152,152,"Attractions / Activities"
3597473,137,"Attractions / Activities"
3592152,143,"Information about Maori culture / cultural activities"
3596067,102,"Check/confirm existing travel plans"
3592152,144,"Compare prices / find deals"
3597458,111,"General information about the region you were in"
3597473,135,"General information about the region you were in"
3597473,136,"Directions"
3596067,101,"General information about the region you were in"
3596841,126,"Internet access"
3596042,130,"Weather information"
3592152,148,"Accommodation in a different region"
3597458,112,"General information about a different region"
3592152,141,"Weather information"
3592152,146,"Information about amenities/services for the town you were in"
3592152,147,"Accommodation in the region you were in"
3592152,149,"Transport/ travel options around New Zealand"
3596067,103,"Weather information"
3596067,105,"Accommodation in the region you were in"
3596067,104,"Directions"
3597490,111,"General information about the region you were in"
3597490,113,"Access to resources to assist you to plan"
3597490,112,"Check/confirm existing travel plans"
3596850,172,"Check/confirm existing travel plans"
3597490,116,"Internet access"
3597490,117,"Compare prices / find deals"
3596850,171,"General information about the region you were in"
3597490,118,"Directions"
3596850,175,"Internet access"
3597490,114,"Weather information"
3596850,173,"Weather information"
3596074,98,"Weather information"
3597490,119,"Information about amenities/services for the town you were in"
3596850,177,"Overview of NZ regions"
3596850,179,"Information about amenities/services for the town you were in"
3597490,122,"Attractions / Activities"
3596074,102,"Attractions / Activities"
3596850,176,"Directions"
3596074,100,"Internet access"
3597490,120,"Accommodation in the region you were in"
3597490,121,"Transport/ travel options around New Zealand"
3592184,117,"Weather information"
3597490,115,"Maps"
3592182,94,"None of these"
3596850,174,"Maps"
3596850,178,"General information about a different region"
3596074,99,"Maps"
3592184,118,"Maps"
3596861,144,"Access to resources to assist you to plan"
3596074,101,"Directions"
3597492,132,"General information about the region you were in"
3596861,146,"Directions"
3596117,149,"General information about the region you were in"
3596861,147,"Overview of NZ regions"
3597492,134,"Weather information"
3596117,152,"Weather information"
3596117,157,"Overview of NZ regions"
3596861,149,"Flights within New Zealand"
3597492,133,"Check/confirm existing travel plans"
3596117,150,"Check/confirm existing travel plans"
3596117,160,"Information about amenities/services for the town you were in"
3596117,161,"Accommodation in the region you were in"
3596117,154,"Internet access"
3596117,155,"Compare prices / find deals"
3596861,145,"Maps"
3596861,148,"General information about a different region"
3596117,151,"Access to resources to assist you to plan"
3596117,153,"Maps"
3596117,158,"General information about a different region"
3596117,159,"See ratings by other travellers"
3596117,162,"Accommodation in a different region"
3596117,163,"Attractions / Activities"
3597492,138,"Attractions / Activities"
3596861,150,"Attractions / Activities"
3596142,167,"Check/confirm existing travel plans"
3596117,156,"Directions"
3597492,136,"Internet access"
3597492,137,"Directions"
3592184,119,"Internet access"
3592184,120,"Directions"
3596868,106,"Internet access"
3597492,135,"Maps"
3597508,120,"Maps"
3597508,124,"Attractions / Activities"
3596142,173,"Suggested itineraries"
3597508,119,"General information about the region you were in"
3597508,121,"Internet access"
3596142,170,"Internet access"
3597508,122,"Information about Maori culture / cultural activities"
3596142,168,"Weather information"
3597508,123,"Overview of NZ regions"
3596142,169,"Maps"
3596142,171,"See ratings by other travellers"
3596142,172,"Accommodation in a different region"
3592184,121,"See ratings by other travellers"
3592185,138,"Weather information"
3597525,133,"Weather information"
3592185,140,"Directions"
3596156,119,"Directions"
3597525,135,"Compare prices / find deals"
3592184,122,"Flights within New Zealand"
3592185,137,"Check/confirm existing travel plans"
3592185,142,"Attractions / Activities"
3597525,132,"Check/confirm existing travel plans"
3596156,117,"Check/confirm existing travel plans"
3596886,182,"Check/confirm existing travel plans"
3596886,188,"Attractions / Activities"
3592185,139,"Maps"
3592185,141,"General information about a different region"
3597525,134,"Maps"
3596156,118,"Maps"
3596886,183,"Maps"
3596886,185,"General information about a different region"
3597525,141,"Attractions / Activities"
3597525,136,"Directions"
3596886,184,"Internet access"
3596156,120,"Information about amenities/services for the town you were in"
3597525,137,"Overview of NZ regions"
3597525,138,"Accommodation in the region you were in"
3596886,186,"Information about amenities/services for the town you were in"
3596886,187,"Accommodation in the region you were in"
3597525,140,"Transport/ travel options around New Zealand"
3592199,142,"Weather information"
3592199,145,"Overview of NZ regions"
3592199,149,"Attractions / Activities"
3596174,105,"Check/confirm existing travel plans"
3596174,109,"Event information"
3597555,111,"Attractions / Activities"
3592200,158,"Check/confirm existing travel plans"
3597525,139,"Accommodation in a different region"
3592199,143,"Maps"
3592199,146,"See ratings by other travellers"
3592199,148,"Accommodation in a different region"
3592199,144,"Internet access"
3596174,107,"Maps"
3596909,102,"None of these"
3596174,108,"Directions"
3597555,107,"General information about the region you were in"
3597555,108,"Compare prices / find deals"
3592200,159,"Access to resources to assist you to plan"
3592200,162,"Internet access"
3592200,163,"Information about Maori culture / cultural activities"
3592199,147,"Accommodation in the region you were in"
3596165,106,"Weather information"
3592200,164,"Compare prices / find deals"
3596174,106,"Weather information"
3597555,109,"Information about amenities/services for the town you were in"
3597555,110,"Transport/ travel options around New Zealand"
3592200,165,"Directions"
3596181,112,"Internet access"
3597556,124,"Check/confirm existing travel plans"
3596181,113,"Information about Maori culture / cultural activities"
3596181,116,"Flights within New Zealand"
3597556,125,"Internet access"
3596181,117,"Suggested itineraries"
3596934,113,"General information about the region you were in"
3596934,116,"Attractions / Activities"
3592200,161,"Maps"
3596181,111,"Maps"
3596181,114,"See ratings by other travellers"
3592200,168,"Accommodation in a different region"
3592200,160,"Weather information"
3592200,166,"Information about amenities/services for the town you were in"
3592200,167,"Accommodation in the region you were in"
3596181,110,"Weather information"
3596181,115,"Accommodation in the region you were in"
3596934,115,"Accommodation in the region you were in"
3597557,152,"Attractions / Activities"
3597557,153,"Suggested itineraries"
3596934,114,"Directions"
3597557,145,"General information about the region you were in"
3592219,129,"Weather information"
3596961,132,"Check/confirm existing travel plans"
3597557,147,"Weather information"
3596206,125,"General information about the region you were in"
3592219,130,"Maps"
3597557,146,"Access to resources to assist you to plan"
3596961,131,"General information about the region you were in"
3597557,149,"Information about amenities/services for the town you were in"
3597557,151,"Transport/ travel options around New Zealand"
3596206,126,"Weather information"
3597557,148,"General information about a different region"
3596961,134,"To meet other travellers"
3596206,128,"Internet access"
3597557,150,"Accommodation in a different region"
3596206,129,"Compare prices / find deals"
3596206,132,"Flights within New Zealand"
3596206,127,"Maps"
3596961,133,"Maps"
3596961,138,"General information about a different region"
3596206,133,"Event information"
3592232,140,"Maps"
3596961,139,"See ratings by other travellers"
3596206,134,"Attractions / Activities"
3596206,131,"Accommodation in the region you were in"
3596206,135,"Suggested itineraries"
3596206,130,"Directions"
3596961,135,"Internet access"
3596961,136,"Compare prices / find deals"
3597559,105,"Weather information"
3596961,137,"Directions"
3592232,139,"General information about the region you were in"
3597559,104,"General information about the region you were in"
3596961,140,"Accommodation in the region you were in"
3597559,109,"Attractions / Activities"
3597559,107,"Directions"
3592232,141,"Internet access"
3597559,106,"Maps"
3597559,108,"General information about a different region"
3596961,142,"Transport/ travel options around New Zealand"
3596966,120,"Weather information"
3596961,143,"Attractions / Activities"
3592232,142,"Directions"
3596966,122,"Directions"
3596966,123,"Accommodation in the region you were in"
3597589,147,"Weather information"
3597589,146,"General information about the region you were in"
3596966,125,"Attractions / Activities"
3597589,151,"Accommodation in the region you were in"
3596966,126,"Suggested itineraries"
3596961,141,"Accommodation in a different region"
3596966,121,"Maps"
3596215,177,"None of these"
3596966,124,"Accommodation in a different region"
3597589,148,"Maps"
3597589,150,"General information about a different region"
3597589,152,"Accommodation in a different region"
3597592,127,"Attractions / Activities"
3596977,109,"Attractions / Activities"
3596231,146,"Check/confirm existing travel plans"
3596977,106,"Maps"
3596977,107,"See ratings by other travellers"
3597589,149,"Directions"
3592234,125,"Directions"
3596977,104,"General information about the region you were in"
3592251,103,"General information about the region you were in"
3596231,149,"Compare prices / find deals"
3597592,126,"Maps"
3596231,148,"Maps"
3592234,124,"Weather information"
3592234,126,"Transport/ travel options around New Zealand"
3596977,105,"Weather information"
3597592,125,"Weather information"
3596977,108,"Information about amenities/services for the town you were in"
3596231,147,"Weather information"
3596231,151,"Overview of NZ regions"
3596231,152,"Information about amenities/services for the town you were in"
3596231,150,"Directions"
3592251,106,"Internet access"
3596231,154,"Transport/ travel options around New Zealand"
3592251,107,"Directions"
3597608,99,"Internet access"
3592251,104,"Weather information"
3596240,134,"Suggested itineraries"
3596240,132,"Weather information"
3597608,100,"Directions"
3596993,140,"General information about the region you were in"
3597608,97,"Weather information"
3596231,153,"Accommodation in a different region"
3597608,101,"Attractions / Activities"
3596993,144,"Internet access"
3596993,142,"Weather information"
3596993,141,"Check/confirm existing travel plans"
3592251,105,"Maps"
3597606,97,"None of these"
3596240,131,"Access to resources to assist you to plan"
3596240,133,"Maps"
3597608,98,"Maps"
3592252,136,"Accommodation in the region you were in"
3597625,118,"Information about amenities/services for the town you were in"
3592285,127,"Weather information"
3592252,137,"Attractions / Activities"
3597625,116,"Check/confirm existing travel plans"
3597009,120,"Check/confirm existing travel plans"
3596256,127,"Check/confirm existing travel plans"
3597625,119,"Attractions / Activities"
3597009,128,"Attractions / Activities"
3597009,129,"Suggested itineraries"
3596993,145,"Directions"
3592252,135,"Internet access"
3597625,117,"Directions"
3597009,123,"Internet access"
3597009,124,"Compare prices / find deals"
3596256,128,"Weather information"
3596256,129,"Accommodation in the region you were in"
3596256,131,"Transport/ travel options around New Zealand"
3597009,121,"Weather information"
3596993,143,"Maps"
3592252,134,"Maps"
3597009,126,"Overview of NZ regions"
3596256,130,"Accommodation in a different region"
3597009,127,"Transport/ travel options around New Zealand"
3597009,122,"Maps"
3592285,128,"Maps"
3592285,135,"Attractions / Activities"
3597011,118,"Check/confirm existing travel plans"
3592285,132,"General information about a different region"
3592285,133,"See ratings by other travellers"
3596276,137,"Check/confirm existing travel plans"
3592285,134,"Transport/ travel options around New Zealand"
3597639,133,"Weather information"
3597011,119,"Weather information"
3597009,125,"Directions"
3592285,129,"Internet access"
3592285,130,"Compare prices / find deals"
3592285,131,"Directions"
3597639,132,"General information about the region you were in"
3597011,120,"Internet access"
3597011,121,"Directions"
3597639,135,"Internet access"
3592316,141,"Weather information"
3596276,142,"Information about amenities/services for the town you were in"
3597642,139,"Weather information"
3597639,134,"Maps"
3596276,138,"Maps"
3597642,143,"Information about amenities/services for the town you were in"
3597642,144,"Accommodation in the region you were in"
3597018,140,"Weather information"
3596276,141,"See ratings by other travellers"
3596276,143,"Accommodation in a different region"
3597639,136,"Information about Maori culture / cultural activities"
3597642,140,"Maps"
3597018,139,"Access to resources to assist you to plan"
3596276,144,"Event information"
3596276,139,"Internet access"
3596276,145,"Attractions / Activities"
3597642,145,"Event information"
3596276,140,"Directions"
3597642,141,"Internet access"
3597642,146,"Attractions / Activities"
3592316,142,"Maps"
3597025,112,"Maps"
3597025,111,"Weather information"
3592316,146,"Flights within New Zealand"
3597018,138,"General information about the region you were in"
3597642,142,"Information about Maori culture / cultural activities"
3597018,141,"Compare prices / find deals"
3592316,143,"Internet access"
3592316,144,"Information about Maori culture / cultural activities"
3596283,180,"Weather information"
3596283,184,"Overview of NZ regions"
3596283,185,"Accommodation in the region you were in"
3597657,161,"Check/confirm existing travel plans"
3597034,129,"Check/confirm existing travel plans"
3596283,186,"Attractions / Activities"
3597657,170,"Suggested itineraries"
3596283,181,"Maps"
3597657,163,"Maps"
3597657,169,"Accommodation in a different region"
3597657,162,"Weather information"
3597657,166,"Overview of NZ regions"
3597657,167,"Information about amenities/services for the town you were in"
3597657,168,"Accommodation in the region you were in"
3597034,130,"Weather information"
3592316,145,"Directions"
3592318,138,"General information about the region you were in"
3596283,182,"Internet access"
3596283,183,"Directions"
3597657,164,"Internet access"
3597657,165,"Compare prices / find deals"
3597034,132,"Internet access"
3597034,133,"Compare prices / find deals"
3597034,131,"Maps"
3597034,135,"See ratings by other travellers"
3597034,138,"Event information"
3597034,134,"Directions"
3597673,108,"Internet access"
3597036,100,"Access to resources to assist you to plan"
3596290,101,"Internet access"
3597034,139,"Attractions / Activities"
3592319,129,"Internet access"
3597034,140,"Suggested itineraries"
3597034,136,"Information about amenities/services for the town you were in"
3597673,109,"Attractions / Activities"
3597036,102,"Maps"
3597043,144,"Accommodation in a different region"
3597036,103,"Attractions / Activities"
3597034,137,"Transport/ travel options around New Zealand"
3592318,140,"Attractions / Activities"
3592319,132,"Attractions / Activities"
3592319,130,"Information about Maori culture / cultural activities"
3592318,139,"Weather information"
3592334,126,"Check/confirm existing travel plans"
3597673,107,"Weather information"
3597036,101,"Weather information"
3592319,128,"Maps"
3597689,138,"Maps"
3592335,98,"None of these"
3592319,131,"Directions"
3596308,105,"Internet access"
3596308,106,"Compare prices / find deals"
3592334,128,"Internet access"
3592334,129,"Directions"
3597689,139,"Internet access"
3597043,143,"Information about amenities/services for the town you were in"
3592334,127,"Weather information"
3597689,137,"Weather information"
3592350,103,"Weather information"
3597690,101,"Weather information"
3596331,117,"Weather information"
3596331,116,"Check/confirm existing travel plans"
3597690,104,"Event information"
3597690,105,"Attractions / Activities"
3592350,104,"Maps"
3597070,107,"None of these"
3596331,115,"General information about the region you were in"
3592369,134,"Weather information"
3596331,120,"Flights within New Zealand"
3597690,102,"Internet access"
3592369,133,"Check/confirm existing travel plans"
3596331,118,"Maps"
3597109,123,"Maps"
3597690,103,"Directions"
3596331,119,"Directions"
3592369,136,"Information about Maori culture / cultural activities"
3592369,135,"Maps"
3596349,101,"Maps"
3592369,139,"Information about amenities/services for the town you were in"
3597111,130,"Accommodation in a different region"
3592369,140,"Event information"
3592383,136,"Access to resources to assist you to plan"
3597691,139,"Weather information"
3592369,141,"Attractions / Activities"
3597691,140,"Accommodation in the region you were in"
3596349,100,"Check/confirm existing travel plans"
3597691,141,"Suggested itineraries"
3592383,135,"Check/confirm existing travel plans"
3597111,129,"Weather information"
3592383,137,"Weather information"
3592369,137,"Compare prices / find deals"
3592369,138,"Directions"
3596349,99,"General information about the region you were in"
3592383,134,"General information about the region you were in"
3596349,102,"Internet access"
3596349,103,"Directions"
3592383,139,"Directions"
3592383,142,"Attractions / Activities"
3592383,143,"Suggested itineraries"
3596351,144,"Attractions / Activities"
3592383,141,"Information about amenities/services for the town you were in"
3592383,138,"Maps"
3592383,140,"See ratings by other travellers"
3596351,143,"Information about Maori culture / cultural activities"
3597120,117,"Internet access"
3596351,141,"Weather information"
3597725,141,"General information about the region you were in"
3597120,118,"Information about Maori culture / cultural activities"
3592384,161,"General information about the region you were in"
3597725,143,"Weather information"
3597120,120,"Accommodation in the region you were in"
3597120,121,"Transport/ travel options around New Zealand"
3592384,164,"Weather information"
3592384,165,"Overview of NZ regions"
3597692,107,"None of these"
3597725,142,"Check/confirm existing travel plans"
3596351,142,"Maps"
3597120,116,"Maps"
3597120,122,"Event information"
3592384,162,"Check/confirm existing travel plans"
3597120,119,"General information about a different region"
3592384,166,"Attractions / Activities"
3597725,144,"Maps"
3592384,163,"Access to resources to assist you to plan"
3597742,110,"Check/confirm existing travel plans"
3596358,131,"Attractions / Activities"
3596358,126,"Maps"
3596358,128,"General information about a different region"
3596358,129,"Accommodation in a different region"
3597125,141,"Access to resources to assist you to plan"
3597742,113,"See ratings by other travellers"
3597742,115,"Accommodation in a different region"
3597125,143,"Maps"
3592385,143,"See ratings by other travellers"
3596358,127,"Compare prices / find deals"
3597742,109,"General information about the region you were in"
3597742,112,"Compare prices / find deals"
3592385,141,"General information about the region you were in"
3597742,111,"Weather information"
3596358,130,"Transport/ travel options around New Zealand"
3597125,142,"Weather information"
3592385,142,"Compare prices / find deals"
3597742,114,"Accommodation in the region you were in"
3597125,144,"Information about amenities/services for the town you were in"
3592385,144,"Accommodation in the region you were in"
3592385,145,"Transport/ travel options around New Zealand"
3596365,132,"Transport/ travel options around New Zealand"
3592385,146,"Attractions / Activities"
3597759,187,"Overview of NZ regions"
3596365,130,"Maps"
3592386,105,"Maps"
3597759,188,"Transport/ travel options around New Zealand"
3596365,131,"Internet access"
3592402,99,"Weather information"
3592386,104,"Check/confirm existing travel plans"
3597759,184,"Maps"
3596367,126,"Maps"
3596367,125,"Weather information"
3592386,106,"Internet access"
3597150,134,"Internet access"
3597759,185,"Compare prices / find deals"
3596365,133,"Flights within New Zealand"
3597759,186,"Directions"
3596367,127,"Directions"
3596367,128,"Accommodation in a different region"
3596365,134,"Attractions / Activities"
3597759,189,"Event information"
3597759,190,"Attractions / Activities"
3597776,99,"Maps"
3592419,125,"None of these"
3596374,130,"Maps"
3592433,174,"Maps"
3596367,124,"Check/confirm existing travel plans"
3596367,129,"Suggested itineraries"
3597159,121,"Weather information"
3597159,120,"Check/confirm existing travel plans"
3592416,104,"Weather information"
3597159,123,"Information about amenities/services for the town you were in"
3596374,129,"Weather information"
3592433,173,"Weather information"
3597159,122,"Internet access"
3597776,100,"Internet access"
3596374,128,"General information about the region you were in"
3592433,172,"General information about the region you were in"
3596374,131,"Internet access"
3592433,175,"Compare prices / find deals"
3596374,132,"Information about Maori culture / cultural activities"
3597789,96,"Maps"
3592433,176,"See ratings by other travellers"
3597168,121,"General information about a different region"
3597175,152,"Check/confirm existing travel plans"
3597840,119,"Event information"
3592434,106,"None of these"
3597792,98,"None of these"
3597789,97,"Directions"
3597168,119,"Internet access"
3597168,120,"Directions"
3597840,117,"Internet access"
3597175,151,"General information about the region you were in"
3597840,118,"Directions"
3592435,171,"General information about the region you were in"
3597175,153,"Internet access"
3597840,120,"Attractions / Activities"
3592435,172,"Check/confirm existing travel plans"
3597175,158,"Attractions / Activities"
3597175,159,"Suggested itineraries"
3596374,135,"Attractions / Activities"
3592435,173,"Weather information"
3597175,157,"Transport/ travel options around New Zealand"
3597841,210,"Weather information"
3597175,155,"General information about a different region"
3597175,156,"Accommodation in a different region"
3597841,209,"Access to resources to assist you to plan"
3597175,154,"Directions"
3596374,133,"Compare prices / find deals"
3597841,208,"General information about the region you were in"
3596374,134,"Directions"
3597841,212,"Internet access"
3597841,213,"Compare prices / find deals"
3597841,211,"Maps"
3597841,215,"See ratings by other travellers"
3592435,174,"Maps"
3597892,132,"None of these"
3597841,217,"Event information"
3597841,218,"Attractions / Activities"
3597177,134,"Suggested itineraries"
3596376,130,"Check/confirm existing travel plans"
3596376,134,"Attractions / Activities"
3596376,135,"Suggested itineraries"
3597841,216,"Accommodation in the region you were in"
3597841,214,"Directions"
3592435,175,"Internet access"
3597177,132,"Weather information"
3596376,131,"Weather information"
3592435,176,"Information about Maori culture / cultural activities"
3596376,133,"Accommodation in the region you were in"
3592435,177,"Compare prices / find deals"
3597177,131,"General information about the region you were in"
3596376,129,"General information about the region you were in"
3597177,133,"Accommodation in a different region"
3596376,132,"Directions"
3592435,178,"Directions"
3592435,180,"See ratings by other travellers"
3597907,131,"General information about a different region"
3592435,182,"Attractions / Activities"
3596381,120,"Attractions / Activities"
3597186,143,"Check/confirm existing travel plans"
3597186,149,"Attractions / Activities"
3597186,142,"General information about the region you were in"
3597186,144,"Compare prices / find deals"
3597186,147,"Accommodation in a different region"
3597186,145,"Directions"
3596392,118,"Internet access"
3592436,174,"Internet access"
3592436,175,"Compare prices / find deals"
3592435,179,"Overview of NZ regions"
3592436,173,"Maps"
3592436,177,"See ratings by other travellers"
3592435,181,"Transport/ travel options around New Zealand"
3597907,130,"Weather information"
3592436,176,"Directions"
3597909,138,"General information about the region you were in"
3597186,146,"Accommodation in the region you were in"
3592436,179,"Accommodation in a different region"
3592436,181,"Event information"
3597186,148,"Transport/ travel options around New Zealand"
3592436,172,"Weather information"
3597209,121,"General information about the region you were in"
3592436,182,"Attractions / Activities"
3592436,178,"Accommodation in the region you were in"
3597909,139,"Check/confirm existing travel plans"
3597909,143,"Internet access"
3597909,144,"Compare prices / find deals"
3596406,112,"Check/confirm existing travel plans"
3592436,180,"Transport/ travel options around New Zealand"
3597909,145,"Directions"
3596406,114,"Internet access"
3592452,123,"Weather information"
3597209,122,"Weather information"
3597909,141,"Weather information"
3596406,113,"Weather information"
3597909,148,"Information about amenities/services for the town you were in"
3597909,149,"Accommodation in the region you were in"
3597209,123,"Maps"
3597909,140,"Access to resources to assist you to plan"
3597909,142,"Maps"
3592452,124,"Maps"
3597909,146,"General information about a different region"
3596406,118,"Attractions / Activities"
3597909,152,"Attractions / Activities"
3597909,147,"See ratings by other travellers"
3596408,116,"Flights within New Zealand"
3597909,153,"Suggested itineraries"
3597909,150,"Accommodation in a different region"
3597220,137,"Attractions / Activities"
3597220,133,"Maps"
3597220,136,"Accommodation in a different region"
3596408,117,"Attractions / Activities"
3592469,141,"Check/confirm existing travel plans"
3592469,144,"Attractions / Activities"
3596406,115,"Directions"
3597220,131,"General information about the region you were in"
3597220,134,"Internet access"
3597220,135,"Directions"
3592469,143,"Directions"
3596406,116,"Information about amenities/services for the town you were in"
3597909,151,"Transport/ travel options around New Zealand"
3596406,117,"Accommodation in the region you were in"
3597220,132,"Weather information"
3592469,142,"Weather information"
3597924,132,"Weather information"
3596417,112,"Weather information"
3597924,133,"Maps"
3596417,113,"Maps"
