"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3557867,115,"China Southern","4"
3557907,111,"Another airline",NA
3557879,148,"Qantas","Excellent  10"
3557784,144,"Singapore Airlines","Excellent  10"
3559251,106,"Singapore Airlines","Excellent  10"
3557852,150,"Another airline",NA
3557490,152,"Another airline",NA
3557864,154,"Air New Zealand","8"
3557712,129,"Emirates","Excellent  10"
3557535,144,"Emirates","Excellent  10"
3557518,134,"China Southern","7"
3557466,148,"Air New Zealand","8"
3557951,137,"Another airline",NA
3557891,167,"Not sure",NA
3557959,180,"Another airline",NA
3559211,135,"Virgin/Virgin Blue/Pacific Blue","6"
3559227,116,"Air New Zealand","8"
3557912,126,"Emirates","9"
3557844,105,"China Southern","9"
3557880,172,"Another airline",NA
3557956,191,"Emirates","Excellent  10"
3557904,113,"Air New Zealand","Excellent  10"
3557526,133,"Qantas","9"
3559299,139,"Singapore Airlines","7"
3558051,121,"Emirates","9"
3559355,189,"Singapore Airlines","9"
3557551,175,"Emirates","8"
3557474,130,"Cathay Pacific","Excellent  10"
3559271,134,"Air New Zealand","9"
3559239,151,"Air New Zealand","Excellent  10"
3558047,163,"Another airline",NA
3557995,144,"Emirates","9"
3559339,158,"Emirates","8"
3559215,147,"Qantas","Excellent  10"
3559303,127,"Singapore Airlines","Excellent  10"
3559307,129,"Singapore Airlines","8"
3557940,116,"Qantas","Excellent  10"
3557952,136,"Qantas","8"
3559367,127,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3557430,178,"Lufthansa","8"
3557498,159,"Lufthansa","9"
3559259,160,"China Southern","Excellent  10"
3558019,138,"China Southern","8"
3557971,109,"Emirates","8"
3557884,111,"Emirates","Excellent  10"
3558043,198,"Emirates","Excellent  10"
3557932,189,"Emirates","9"
3557872,139,"Air New Zealand","Excellent  10"
3559263,172,"China Southern","9"
3559331,124,"Emirates","Excellent  10"
3557549,185,"Air New Zealand","6"
3559335,144,"Emirates","Excellent  10"
3557555,163,"Emirates","8"
3557996,133,"Emirates","7"
3558071,143,"Air New Zealand","8"
3558137,155,"Air New Zealand","6"
3557944,129,"Air New Zealand","7"
3559343,184,"Air New Zealand","8"
3559371,150,"China Southern","7"
3557883,171,"Qantas","6"
3558117,135,"Another airline",NA
3559378,122,"Air New Zealand","Excellent  10"
3559275,218,"Singapore Airlines","8"
3559404,123,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3557598,170,"Virgin/Virgin Blue/Pacific Blue","8"
3559408,182,"Singapore Airlines","Excellent  10"
3557916,166,"China Southern","Excellent  10"
3559410,185,"Singapore Airlines","9"
3557553,215,"China Southern","Poor  1"
3558024,212,"Cathay Pacific","6"
3559359,237,"Another airline",NA
3558185,133,"Cathay Pacific","9"
