"SurveyResponseID","AnswerNumber","iSiteUsage"
3557498,103,"Attractions / Activities"
3557720,101,"General information about the region you were in"
3557637,133,"Internet access"
3557702,71,"Internet access"
3557497,95,"Maps"
3557538,77,"Maps"
3557539,88,"Maps"
3557498,100,"Maps"
3557720,103,"Compare prices / find deals"
3557720,105,"Attractions / Activities"
3557727,113,"General information about the region you were in"
3557512,103,"Attractions / Activities"
3557720,104,"Information about amenities/services for the town you were in"
3557540,84,"Transport/ travel options around New Zealand"
3557727,116,"Information about amenities/services for the town you were in"
3557676,89,"Information about amenities/services for the town you were in"
3557515,117,"Accommodation in a different region"
3557539,89,"Directions"
3557540,81,"Access to resources to assist you to plan"
3557676,88,"Directions"
3557727,114,"Access to resources to assist you to plan"
3557515,115,"Directions"
3557515,116,"General information about a different region"
3557720,102,"Maps"
3557540,82,"Maps"
3557540,83,"To meet other travellers"
3557727,115,"Weather information"
3557515,113,"Weather information"
3557687,105,"Suggested itineraries"
3557687,104,"Information about amenities/services for the town you were in"
3557743,138,"Information about amenities/services for the town you were in"
3557515,114,"Maps"
3557687,102,"Weather information"
3557687,101,"General information about the region you were in"
3557743,136,"Weather information"
3557750,136,"Information about amenities/services for the town you were in"
3557687,103,"Compare prices / find deals"
3557743,137,"Internet access"
3557529,99,"Weather information"
3557743,135,"Check/confirm existing travel plans"
3557556,131,"Weather information"
3557750,135,"General information about a different region"
3557529,102,"General information about a different region"
3557556,133,"Information about Maori culture / cultural activities"
3557717,86,"Access to resources to assist you to plan"
3557743,139,"Attractions / Activities"
3557529,98,"General information about the region you were in"
3557556,130,"General information about the region you were in"
3557556,134,"Attractions / Activities"
3557717,85,"General information about the region you were in"
3557750,137,"Accommodation in the region you were in"
3557529,103,"Information about amenities/services for the town you were in"
3557529,100,"Maps"
3557556,132,"Maps"
3557529,101,"Internet access"
3557717,88,"General information about a different region"
3557529,104,"Suggested itineraries"
3557557,117,"Access to resources to assist you to plan"
3557557,119,"Information about Maori culture / cultural activities"
3557557,120,"General information about a different region"
3557717,89,"Transport/ travel options around New Zealand"
3557557,121,"Transport/ travel options around New Zealand"
3557549,122,"Information about amenities/services for the town you were in"
3557750,138,"Attractions / Activities"
3557717,90,"Attractions / Activities"
3557549,119,"General information about the region you were in"
3557827,101,"General information about the region you were in"
3557549,121,"Overview of NZ regions"
3557827,102,"Check/confirm existing travel plans"
3557827,103,"Access to resources to assist you to plan"
3557557,122,"Suggested itineraries"
3557549,123,"Event information"
3557717,87,"Internet access"
3557557,118,"Weather information"
3557737,98,"Weather information"
3557737,99,"Maps"
3557549,120,"Maps"
3557827,106,"Directions"
3557827,107,"General information about a different region"
3557827,110,"Suggested itineraries"
3557827,109,"Attractions / Activities"
3557742,105,"Check/confirm existing travel plans"
3557852,85,"General information about the region you were in"
3557563,101,"Check/confirm existing travel plans"
3557742,109,"Attractions / Activities"
3557563,106,"Attractions / Activities"
3557573,82,"General information about the region you were in"
3557563,103,"Directions"
3557852,87,"General information about a different region"
3557852,90,"Attractions / Activities"
3557827,108,"Information about amenities/services for the town you were in"
3557563,104,"Information about amenities/services for the town you were in"
3557563,105,"Transport/ travel options around New Zealand"
3557852,88,"Accommodation in a different region"
3557852,89,"Event information"
3557827,104,"Maps"
3557827,105,"Internet access"
3557742,106,"Weather information"
3557742,107,"Maps"
3557742,108,"Internet access"
3557563,102,"Maps"
3557852,86,"Maps"
3557573,84,"Directions"
3557879,84,"Access to resources to assist you to plan"
3557744,109,"Access to resources to assist you to plan"
3557744,110,"Information about Maori culture / cultural activities"
3557744,108,"General information about the region you were in"
3557879,86,"Overview of NZ regions"
3557751,169,"General information about the region you were in"
3557909,92,"General information about the region you were in"
3557751,174,"Overview of NZ regions"
3557751,173,"Directions"
3557751,175,"General information about a different region"
3557744,111,"Accommodation in the region you were in"
3557573,83,"Maps"
3557879,85,"Maps"
3557751,170,"Weather information"
3557598,103,"Maps"
3557751,171,"Maps"
3557751,172,"Internet access"
3557909,95,"Directions"
3557909,96,"General information about a different region"
3557607,136,"Access to resources to assist you to plan"
3557607,138,"General information about a different region"
3557614,127,"Access to resources to assist you to plan"
3557909,93,"Weather information"
3557909,94,"Maps"
3557607,137,"Internet access"
3557614,128,"Weather information"
3557614,129,"Maps"
3557614,130,"Internet access"
3557598,104,"Attractions / Activities"
3557751,176,"Attractions / Activities"
3557909,97,"Attractions / Activities"
3557607,135,"General information about the region you were in"
3557607,142,"Attractions / Activities"
3557614,131,"Compare prices / find deals"
3557614,133,"Overview of NZ regions"
3557929,96,"General information about the region you were in"
3557929,97,"Check/confirm existing travel plans"
3557621,131,"General information about the region you were in"
3557621,132,"Weather information"
3557614,132,"Directions"
3557614,134,"General information about a different region"
3557614,135,"Suggested itineraries"
3557819,94,"Access to resources to assist you to plan"
3557819,98,"Information about Maori culture / cultural activities"
3557621,133,"Maps"
3557819,95,"Weather information"
3557819,96,"Maps"
3557819,97,"Internet access"
3557819,93,"General information about the region you were in"
3557607,139,"Accommodation in a different region"
3557819,101,"Attractions / Activities"
3557648,108,"General information about the region you were in"
3557607,140,"Transport/ travel options around New Zealand"
3557607,141,"Event information"
3557607,143,"Something else"
3557614,136,"Something else"
3557819,100,"Information about amenities/services for the town you were in"
3557648,110,"Information about amenities/services for the town you were in"
3557648,111,"Attractions / Activities"
3557621,135,"Compare prices / find deals"
3557665,93,"General information about the region you were in"
3557622,94,"General information about the region you were in"
3557621,136,"Accommodation in the region you were in"
3557819,99,"Directions"
3557648,112,"Suggested itineraries"
3557621,137,"Suggested itineraries"
3557648,109,"Maps"
3557621,134,"Internet access"
3557665,98,"Attractions / Activities"
3557846,121,"General information about the region you were in"
3557846,122,"Check/confirm existing travel plans"
3557665,94,"Access to resources to assist you to plan"
3557622,100,"Attractions / Activities"
3557665,96,"Information about Maori culture / cultural activities"
3557622,96,"Information about Maori culture / cultural activities"
3557665,97,"Event information"
3557943,109,"Maps"
3557943,110,"Internet access"
3557622,98,"Accommodation in the region you were in"
3557622,99,"Accommodation in a different region"
3557622,97,"Directions"
3557665,99,"Suggested itineraries"
3557846,123,"Access to resources to assist you to plan"
3557622,101,"Suggested itineraries"
3557846,131,"Transport/ travel options around New Zealand"
3557846,127,"Information about Maori culture / cultural activities"
3557846,128,"Directions"
3557846,130,"General information about a different region"
3557943,111,"Directions"
3557846,133,"Suggested itineraries"
3557666,98,"Access to resources to assist you to plan"
3557846,129,"Overview of NZ regions"
3557846,132,"Attractions / Activities"
3557665,95,"Maps"
3557622,95,"Maps"
3557846,124,"Weather information"
3557846,125,"Maps"
3557846,126,"Internet access"
3557666,99,"Weather information"
3557623,87,"Directions"
3557869,110,"Directions"
3557640,156,"Suggested itineraries"
3557666,100,"Maps"
3557666,101,"Internet access"
3557640,153,"Weather information"
3557869,109,"Internet access"
3557640,154,"Maps"
3557970,129,"Weather information"
3557970,132,"Information about Maori culture / cultural activities"
3557970,133,"General information about a different region"
3557970,130,"Maps"
3557970,131,"Internet access"
3557623,88,"Information about amenities/services for the town you were in"
3557666,102,"Information about amenities/services for the town you were in"
3557666,103,"Accommodation in the region you were in"
3557666,104,"Accommodation in a different region"
3557943,112,"Information about amenities/services for the town you were in"
3557666,105,"Transport/ travel options around New Zealand"
3557970,134,"Accommodation in the region you were in"
3557970,138,"Suggested itineraries"
3557970,135,"Accommodation in a different region"
3557970,136,"Transport/ travel options around New Zealand"
3557640,152,"General information about the region you were in"
3557970,128,"General information about the region you were in"
3557869,108,"General information about the region you were in"
3557640,155,"Attractions / Activities"
3557869,111,"Attractions / Activities"
3557970,137,"Attractions / Activities"
3557657,90,"General information about the region you were in"
3557657,91,"Maps"
3557986,89,"Weather information"
3557713,102,"Maps"
3557944,76,"Maps"
3557986,88,"General information about the region you were in"
3557713,99,"General information about the region you were in"
