"SurveyResponseID","AnswerNumber","iSiteUsage"
3598530,85,"Directions"
3598530,87,"General information about a different region"
3599974,91,"Access to resources to assist you to plan"
3598530,89,"Attractions / Activities"
3597699,92,"Directions"
3598712,83,"Access to resources to assist you to plan"
3599974,90,"General information about the region you were in"
3597699,90,"General information about the region you were in"
3598555,118,"Attractions / Activities"
3599974,94,"Compare prices / find deals"
3597699,93,"Attractions / Activities"
3599974,97,"Attractions / Activities"
3599974,98,"Suggested itineraries"
3598557,87,"General information about the region you were in"
3598530,88,"Information about amenities/services for the town you were in"
3599974,95,"Transport/ travel options around New Zealand"
3599974,96,"Event information"
3598530,83,"Maps"
3598530,84,"Internet access"
3598555,117,"Maps"
3599974,92,"Weather information"
3597699,91,"Maps"
3599974,93,"Maps"
3598557,88,"Weather information"
3598557,90,"Information about amenities/services for the town you were in"
3598557,91,"Transport/ travel options around New Zealand"
3598557,92,"Event information"
3598557,89,"Maps"
3598726,113,"Maps"
3597715,90,"Information about amenities/services for the town you were in"
3597715,89,"Directions"
3599985,97,"Directions"
3598557,93,"Attractions / Activities"
3598726,112,"General information about the region you were in"
3598726,114,"Attractions / Activities"
3599985,95,"General information about the region you were in"
3597715,91,"Attractions / Activities"
3599985,98,"Overview of NZ regions"
3598573,85,"General information about the region you were in"
3598573,86,"Access to resources to assist you to plan"
3598573,89,"General information about a different region"
3599985,96,"Maps"
3598573,87,"Maps"
3598742,127,"Maps"
3598742,128,"Internet access"
3600010,97,"Weather information"
3599985,101,"Attractions / Activities"
3598573,88,"Overview of NZ regions"
3600010,96,"General information about the region you were in"
3598742,129,"Attractions / Activities"
3600010,101,"Attractions / Activities"
3597732,81,"General information about the region you were in"
3600010,98,"Maps"
3600017,80,"Weather information"
3600017,81,"Maps"
3598580,84,"Maps"
3598760,118,"Weather information"
3598760,119,"Maps"
3598760,120,"Internet access"
3600010,99,"Directions"
3600010,100,"General information about a different region"
3600010,102,"Suggested itineraries"
3597732,82,"Access to resources to assist you to plan"
3598580,85,"Directions"
3598760,121,"General information about a different region"
3597732,84,"Attractions / Activities"
3598573,91,"Attractions / Activities"
3600017,82,"Attractions / Activities"
3598580,86,"Overview of NZ regions"
3600026,154,"Attractions / Activities"
3599985,99,"Information about amenities/services for the town you were in"
3599985,100,"Event information"
3597732,83,"Event information"
3598573,90,"Accommodation in a different region"
3598760,122,"Information about amenities/services for the town you were in"
3598760,123,"Transport/ travel options around New Zealand"
3598760,124,"Event information"
3598760,125,"Attractions / Activities"
3598580,88,"Attractions / Activities"
3597766,103,"General information about the region you were in"
3598760,126,"Suggested itineraries"
3597766,104,"Access to resources to assist you to plan"
3597766,105,"Maps"
3598793,129,"Weather information"
3598793,130,"Maps"
3600051,114,"Maps"
3597766,106,"Directions"
3598793,131,"Information about Maori culture / cultural activities"
3598793,133,"Directions"
3598793,135,"Suggested itineraries"
3598580,87,"Accommodation in the region you were in"
3600051,115,"Directions"
3600051,116,"General information about a different region"
3597764,68,"Transport/ travel options around New Zealand"
3600051,117,"Suggested itineraries"
3597766,107,"Information about amenities/services for the town you were in"
3598793,134,"Information about amenities/services for the town you were in"
3598591,100,"Information about amenities/services for the town you were in"
3598591,101,"Accommodation in a different region"
3598591,102,"Transport/ travel options around New Zealand"
3597767,73,"Transport/ travel options around New Zealand"
3598596,86,"Information about amenities/services for the town you were in"
3598607,95,"Internet access"
3598793,127,"General information about the region you were in"
3598793,128,"Check/confirm existing travel plans"
3597766,108,"Attractions / Activities"
3598793,132,"Compare prices / find deals"
3598591,99,"Directions"
3597767,72,"Directions"
3600051,113,"General information about the region you were in"
3597783,100,"General information about a different region"
3597783,99,"Compare prices / find deals"
3598607,96,"General information about a different region"
3597783,102,"Attractions / Activities"
3598607,97,"Attractions / Activities"
3598810,106,"Maps"
3598614,106,"Weather information"
3598614,107,"Maps"
3600101,119,"Maps"
3598810,105,"General information about the region you were in"
3598810,107,"Overview of NZ regions"
3598810,108,"Attractions / Activities"
3597801,85,"Attractions / Activities"
3600101,118,"General information about the region you were in"
3597818,88,"Compare prices / find deals"
3598810,109,"Suggested itineraries"
3597801,84,"General information about a different region"
3600101,120,"Information about Maori culture / cultural activities"
3597783,101,"Information about amenities/services for the town you were in"
3600101,122,"Information about amenities/services for the town you were in"
3598614,109,"Accommodation in the region you were in"
3598614,110,"Accommodation in a different region"
3598844,99,"Transport/ travel options around New Zealand"
3600110,78,"Weather information"
3597818,89,"Attractions / Activities"
3598844,98,"General information about the region you were in"
3598844,100,"Attractions / Activities"
3597848,95,"Maps"
3598861,104,"Weather information"
3597848,94,"General information about the region you were in"
3597848,97,"Attractions / Activities"
3598861,108,"Information about amenities/services for the town you were in"
3598861,101,"General information about the region you were in"
3598861,102,"Check/confirm existing travel plans"
3598861,109,"Accommodation in the region you were in"
3600101,121,"General information about a different region"
3598861,106,"Compare prices / find deals"
3598614,108,"General information about a different region"
3597848,96,"General information about a different region"
3598861,103,"Access to resources to assist you to plan"
3598861,105,"Maps"
3600117,98,"Maps"
3598861,107,"Directions"
3600117,97,"Access to resources to assist you to plan"
3600117,100,"Directions"
3600117,101,"General information about a different region"
3598646,96,"General information about the region you were in"
3598861,112,"Attractions / Activities"
3600117,96,"General information about the region you were in"
3600117,99,"Compare prices / find deals"
3600117,103,"Attractions / Activities"
3600142,130,"General information about the region you were in"
3598862,88,"Attractions / Activities"
3600142,134,"Information about Maori culture / cultural activities"
3600142,136,"Directions"
3600142,137,"General information about a different region"
3598861,110,"Accommodation in a different region"
3598861,111,"Transport/ travel options around New Zealand"
3600117,102,"Accommodation in the region you were in"
3598862,87,"Accommodation in the region you were in"
3600142,138,"Information about amenities/services for the town you were in"
3600142,131,"Check/confirm existing travel plans"
3600142,135,"Compare prices / find deals"
3600142,142,"Attractions / Activities"
3598646,100,"Information about Maori culture / cultural activities"
3598646,104,"Attractions / Activities"
3600142,139,"Accommodation in the region you were in"
3600142,140,"Accommodation in a different region"
3600142,141,"Transport/ travel options around New Zealand"
3598646,102,"Information about amenities/services for the town you were in"
3598646,103,"Event information"
3598862,86,"Maps"
3600142,132,"Weather information"
3598894,95,"General information about the region you were in"
3600142,133,"Maps"
3598646,97,"Weather information"
3598646,98,"Maps"
3598646,99,"Internet access"
3600167,121,"General information about the region you were in"
3598646,101,"Directions"
3598894,96,"Access to resources to assist you to plan"
3598666,88,"Information about amenities/services for the town you were in"
3597915,122,"General information about the region you were in"
3598894,100,"Accommodation in the region you were in"
3598666,89,"Accommodation in the region you were in"
3600167,125,"Event information"
3600167,126,"Attractions / Activities"
3598666,90,"Attractions / Activities"
3597915,125,"Attractions / Activities"
3598723,121,"General information about the region you were in"
3598896,109,"Check/confirm existing travel plans"
3598723,122,"Check/confirm existing travel plans"
3598894,99,"Directions"
3600167,124,"Information about Maori culture / cultural activities"
3600167,122,"Weather information"
3600167,127,"Suggested itineraries"
3598894,101,"Suggested itineraries"
3597915,124,"General information about a different region"
3598723,123,"Access to resources to assist you to plan"
3600167,123,"Maps"
3598894,97,"Weather information"
3598666,87,"Maps"
3598894,98,"Internet access"
3598896,111,"Directions"
3598723,126,"Information about Maori culture / cultural activities"
3598723,127,"Directions"
3600178,100,"Access to resources to assist you to plan"
3600178,103,"Information about Maori culture / cultural activities"
3597915,123,"Maps"
3598723,124,"Weather information"
3598896,110,"Maps"
3598723,125,"Maps"
3600178,101,"Weather information"
3600178,104,"Directions"
3600178,105,"General information about a different region"
3600178,108,"Suggested itineraries"
3598723,129,"General information about a different region"
3600178,99,"General information about the region you were in"
3598723,128,"Overview of NZ regions"
3598896,112,"Information about amenities/services for the town you were in"
3600178,106,"Accommodation in a different region"
3598910,75,"Flights within New Zealand"
3600178,107,"Transport/ travel options around New Zealand"
3598723,131,"Attractions / Activities"
3597917,84,"Directions"
3598911,81,"Directions"
3598723,132,"Suggested itineraries"
3597917,85,"Attractions / Activities"
3598723,130,"Information about amenities/services for the town you were in"
3600183,174,"General information about the region you were in"
3598912,114,"General information about the region you were in"
3598911,82,"Event information"
3598911,83,"Suggested itineraries"
3598746,85,"Overview of NZ regions"
3600183,175,"Access to resources to assist you to plan"
3598746,86,"Accommodation in a different region"
3600183,178,"Compare prices / find deals"
3600183,180,"Overview of NZ regions"
3600183,179,"Directions"
3600183,181,"General information about a different region"
3598764,96,"General information about the region you were in"
3598764,98,"Attractions / Activities"
3600178,102,"Maps"
3598910,73,"Maps"
3598910,74,"Internet access"
3598911,80,"Maps"
3598912,115,"Weather information"
3600183,176,"Weather information"
3600183,182,"Event information"
3598764,97,"Information about amenities/services for the town you were in"
3597998,90,"Accommodation in a different region"
3600208,91,"Transport/ travel options around New Zealand"
3597998,91,"Transport/ travel options around New Zealand"
3598771,77,"Directions"
3598946,100,"General information about a different region"
3598946,102,"Suggested itineraries"
3598816,111,"General information about the region you were in"
3598946,101,"Attractions / Activities"
3597998,89,"Compare prices / find deals"
3600208,90,"Overview of NZ regions"
3600208,92,"Attractions / Activities"
3600183,177,"Maps"
3598771,76,"Maps"
3598946,99,"Maps"
3598816,112,"Weather information"
3598816,113,"Maps"
3600208,88,"Weather information"
3600208,89,"Internet access"
3598816,116,"Compare prices / find deals"
3598816,118,"Overview of NZ regions"
3598816,120,"Attractions / Activities"
3598960,105,"General information about the region you were in"
3598016,77,"Event information"
3598816,114,"Internet access"
3598871,89,"General information about the region you were in"
3598016,76,"Maps"
3598960,106,"Maps"
3598960,110,"Overview of NZ regions"
3598960,107,"Internet access"
3598816,115,"Information about Maori culture / cultural activities"
3598816,117,"Directions"
3598816,119,"General information about a different region"
3598816,121,"Suggested itineraries"
3598960,108,"Information about Maori culture / cultural activities"
3598960,109,"Directions"
3598960,111,"General information about a different region"
3598871,90,"Maps"
3598050,96,"Maps"
3598960,112,"Accommodation in the region you were in"
3598960,113,"Event information"
3600237,81,"Transport/ travel options around New Zealand"
3600237,82,"Event information"
3598962,76,"Information about amenities/services for the town you were in"
3598050,97,"Information about amenities/services for the town you were in"
3600237,77,"Check/confirm existing travel plans"
3600237,78,"Access to resources to assist you to plan"
3600237,79,"Overview of NZ regions"
3598960,114,"Attractions / Activities"
3600237,80,"General information about a different region"
3600237,83,"Attractions / Activities"
3598871,93,"Attractions / Activities"
3598978,95,"Maps"
3598979,102,"Maps"
3598882,106,"Weather information"
3598978,94,"General information about the region you were in"
3598978,97,"Attractions / Activities"
3598979,101,"General information about the region you were in"
3598882,105,"General information about the region you were in"
3600267,98,"General information about the region you were in"
3598067,89,"General information about the region you were in"
3598882,109,"Compare prices / find deals"
3598882,110,"Overview of NZ regions"
3598882,107,"Maps"
3598882,108,"Internet access"
3600267,99,"Maps"
3600267,100,"Internet access"
3598871,91,"Information about amenities/services for the town you were in"
3598067,91,"Compare prices / find deals"
3598962,75,"Directions"
3598979,105,"Suggested itineraries"
3598871,92,"Event information"
3598978,96,"Information about amenities/services for the town you were in"
3598979,103,"Information about amenities/services for the town you were in"
3598979,104,"Transport/ travel options around New Zealand"
3600267,102,"Information about amenities/services for the town you were in"
3598067,92,"Accommodation in the region you were in"
3598067,90,"Maps"
3598994,122,"Maps"
3600292,87,"Maps"
3598084,100,"Maps"
3598067,93,"Event information"
3600267,103,"Transport/ travel options around New Zealand"
3598994,124,"Information about amenities/services for the town you were in"
3598994,125,"Accommodation in the region you were in"
3598994,126,"Accommodation in a different region"
3600267,101,"Directions"
3598994,123,"Information about Maori culture / cultural activities"
3600292,90,"Event information"
3600292,88,"Directions"
3598084,101,"Directions"
3598084,102,"Accommodation in the region you were in"
3598084,103,"Suggested itineraries"
3598882,112,"Information about amenities/services for the town you were in"
3600267,104,"Attractions / Activities"
3598882,111,"General information about a different region"
3598882,114,"Suggested itineraries"
3598994,121,"General information about the region you were in"
3598994,127,"Attractions / Activities"
3598084,99,"General information about the region you were in"
3600292,89,"Overview of NZ regions"
3598882,113,"Attractions / Activities"
3600294,95,"General information about a different region"
3598099,97,"Information about amenities/services for the town you were in"
3598099,98,"Accommodation in the region you were in"
3600312,94,"Maps"
3599012,81,"Internet access"
3599010,78,"Access to resources to assist you to plan"
3600312,98,"Suggested itineraries"
3599012,82,"Information about Maori culture / cultural activities"
3600312,96,"Transport/ travel options around New Zealand"
3599010,77,"General information about the region you were in"
3598907,104,"General information about the region you were in"
3600312,93,"General information about the region you were in"
3600312,95,"Compare prices / find deals"
3600312,97,"Attractions / Activities"
3599012,83,"Compare prices / find deals"
3599012,85,"Overview of NZ regions"
3599012,86,"Event information"
3598916,110,"Maps"
3599013,87,"Weather information"
3598916,109,"General information about the region you were in"
3598916,111,"Overview of NZ regions"
3598133,104,"Attractions / Activities"
3599013,91,"Attractions / Activities"
3598916,113,"Information about amenities/services for the town you were in"
3599012,84,"Directions"
3599012,87,"Suggested itineraries"
3598916,112,"General information about a different region"
3600337,75,"General information about a different region"
3598133,105,"Suggested itineraries"
3598133,102,"Information about amenities/services for the town you were in"
3599013,88,"Directions"
3599013,89,"General information about a different region"
3598133,103,"Transport/ travel options around New Zealand"
3599013,90,"Information about amenities/services for the town you were in"
3598955,100,"Maps"
3600342,132,"Maps"
3600342,133,"Internet access"
3600342,129,"General information about the region you were in"
3600342,130,"Check/confirm existing travel plans"
3598955,101,"Accommodation in the region you were in"
3598955,102,"Accommodation in a different region"
3598150,106,"Event information"
3599029,77,"Information about amenities/services for the town you were in"
3599029,78,"Accommodation in the region you were in"
3599029,79,"Accommodation in a different region"
3599013,92,"Suggested itineraries"
3600342,131,"Access to resources to assist you to plan"
3599029,74,"General information about the region you were in"
3598150,105,"Directions"
3599029,76,"Directions"
3600342,135,"Directions"
3600342,137,"General information about a different region"
3598150,107,"Attractions / Activities"
3599029,75,"Check/confirm existing travel plans"
3600342,134,"Compare prices / find deals"
3600342,136,"Overview of NZ regions"
3599029,80,"Attractions / Activities"
3600342,138,"Information about amenities/services for the town you were in"
3598150,104,"Maps"
3599048,73,"Maps"
3600342,139,"Accommodation in the region you were in"
3600342,140,"Accommodation in a different region"
3599048,74,"Accommodation in the region you were in"
3599048,75,"Accommodation in a different region"
3600342,141,"Transport/ travel options around New Zealand"
3600342,142,"Event information"
3598151,93,"Maps"
3599057,84,"Weather information"
3599043,76,"Weather information"
3599048,76,"Suggested itineraries"
3598151,94,"Accommodation in a different region"
3599048,72,"General information about the region you were in"
3600342,143,"Attractions / Activities"
3598151,92,"General information about the region you were in"
3599057,83,"General information about the region you were in"
3599043,74,"General information about the region you were in"
3599043,75,"Check/confirm existing travel plans"
3599043,77,"Overview of NZ regions"
3599043,79,"Accommodation in the region you were in"
3599057,86,"Transport/ travel options around New Zealand"
3599057,87,"Event information"
3600387,72,"Something else"
3599057,85,"Maps"
3599062,71,"Weather information"
3599043,78,"General information about a different region"
3599057,89,"Suggested itineraries"
3599073,103,"Information about Maori culture / cultural activities"
3599062,72,"Maps"
3599089,79,"Weather information"
3599043,80,"Attractions / Activities"
3599057,88,"Attractions / Activities"
3598169,84,"Attractions / Activities"
3599062,70,"General information about the region you were in"
3599062,75,"Attractions / Activities"
3599089,78,"General information about the region you were in"
3599089,81,"Overview of NZ regions"
3599089,82,"Attractions / Activities"
3598201,92,"General information about the region you were in"
3599089,80,"Maps"
3600442,89,"Internet access"
3599062,73,"Information about amenities/services for the town you were in"
3599062,74,"Transport/ travel options around New Zealand"
3598201,95,"Accommodation in the region you were in"
3599107,78,"Maps"
3599130,93,"Weather information"
3598201,96,"Accommodation in a different region"
3599098,92,"Attractions / Activities"
3600442,90,"Information about amenities/services for the town you were in"
3598201,97,"Attractions / Activities"
3600442,91,"Transport/ travel options around New Zealand"
3599107,81,"Accommodation in a different region"
3599107,77,"General information about the region you were in"
3599130,95,"Information about amenities/services for the town you were in"
3599130,96,"Event information"
3599107,82,"Attractions / Activities"
3599130,91,"General information about the region you were in"
3600394,93,"Directions"
3598201,93,"Access to resources to assist you to plan"
3598201,94,"General information about a different region"
3599098,91,"Access to resources to assist you to plan"
3599107,79,"Directions"
3599107,80,"General information about a different region"
3599130,92,"Access to resources to assist you to plan"
3599130,97,"Suggested itineraries"
3600460,78,"Directions"
3600460,80,"General information about a different region"
3599143,75,"Suggested itineraries"
3600496,104,"Directions"
3600496,105,"General information about a different region"
3599130,94,"Maps"
3600460,77,"Maps"
3599143,72,"Maps"
3600496,102,"Weather information"
3600460,81,"Transport/ travel options around New Zealand"
3599143,74,"Transport/ travel options around New Zealand"
3600496,103,"Maps"
3598285,90,"Weather information"
3598285,91,"Maps"
3598285,92,"Internet access"
3600460,79,"Overview of NZ regions"
3600460,82,"Attractions / Activities"
3599143,73,"Overview of NZ regions"
3600496,101,"General information about the region you were in"
3600496,106,"Attractions / Activities"
3599109,84,"Suggested itineraries"
3599144,88,"Access to resources to assist you to plan"
3598285,94,"Information about amenities/services for the town you were in"
3599109,81,"See ratings by other travellers"
3598285,95,"Accommodation in a different region"
3599109,82,"Accommodation in the region you were in"
3599109,79,"General information about the region you were in"
3598285,93,"Overview of NZ regions"
3598285,96,"Attractions / Activities"
3599109,83,"Attractions / Activities"
3599144,86,"General information about the region you were in"
3599144,87,"Check/confirm existing travel plans"
3600510,121,"General information about the region you were in"
3600510,123,"General information about a different region"
3600510,127,"Suggested itineraries"
3600569,86,"Access to resources to assist you to plan"
3599144,90,"Attractions / Activities"
3599160,84,"Directions"
3599160,85,"General information about a different region"
3600510,126,"Attractions / Activities"
3600569,88,"Overview of NZ regions"
3600569,89,"General information about a different region"
3599109,80,"Maps"
3600510,122,"Maps"
3599144,89,"Information about amenities/services for the town you were in"
3600510,124,"Information about amenities/services for the town you were in"
3600510,125,"Event information"
3599160,86,"Information about amenities/services for the town you were in"
3599160,87,"Accommodation in the region you were in"
3599160,88,"Accommodation in a different region"
3599160,89,"Event information"
3599160,90,"Attractions / Activities"
3600569,90,"Attractions / Activities"
3598332,92,"General information about the region you were in"
3598332,95,"Compare prices / find deals"
3598332,98,"Attractions / Activities"
3600569,87,"Maps"
3598332,93,"Weather information"
3598332,94,"Maps"
3599195,82,"Maps"
3599195,83,"Directions"
3600578,87,"Directions"
3599114,73,"Information about amenities/services for the town you were in"
3598332,96,"Accommodation in the region you were in"
3598332,97,"Event information"
3599195,84,"Accommodation in a different region"
3600578,86,"Maps"
3599139,77,"Maps"
3600594,117,"Weather information"
3600594,120,"Accommodation in the region you were in"
3599139,78,"General information about a different region"
3599139,75,"General information about the region you were in"
3599139,76,"Check/confirm existing travel plans"
3599139,79,"Attractions / Activities"
3600594,121,"Attractions / Activities"
3598336,82,"General information about the region you were in"
3599213,86,"General information about the region you were in"
3598336,83,"Check/confirm existing travel plans"
3598336,85,"Accommodation in a different region"
3599213,90,"Accommodation in a different region"
3598336,86,"Attractions / Activities"
3599213,89,"Compare prices / find deals"
3598351,82,"General information about the region you were in"
3598351,84,"Information about amenities/services for the town you were in"
3600594,118,"Maps"
3599213,88,"Maps"
3600594,119,"Directions"
3598336,84,"Information about Maori culture / cultural activities"
3599213,87,"Access to resources to assist you to plan"
3598336,87,"Suggested itineraries"
3600621,155,"Directions"
3600621,156,"General information about a different region"
3600621,151,"General information about the region you were in"
3600621,154,"Compare prices / find deals"
3600621,160,"Attractions / Activities"
3599213,92,"Attractions / Activities"
3599159,74,"Maps"
3598351,83,"Maps"
3600621,152,"Maps"
3600621,153,"Internet access"
3599159,75,"Internet access"
3599213,91,"Event information"
3598351,85,"Accommodation in the region you were in"
3598351,86,"Transport/ travel options around New Zealand"
3600621,157,"Information about amenities/services for the town you were in"
3600621,158,"Accommodation in the region you were in"
3600621,159,"Transport/ travel options around New Zealand"
3599159,76,"Information about amenities/services for the town you were in"
3599159,77,"Event information"
3599245,84,"Information about amenities/services for the town you were in"
3599159,78,"Suggested itineraries"
3598367,102,"Information about Maori culture / cultural activities"
3598367,103,"General information about a different region"
3600628,79,"Directions"
3599245,83,"Directions"
3600635,92,"Access to resources to assist you to plan"
3598368,76,"Directions"
3600635,95,"Information about Maori culture / cultural activities"
3598368,75,"Maps"
3600635,93,"Maps"
3600635,94,"Internet access"
3599182,79,"Weather information"
3599182,80,"Maps"
3599246,80,"Weather information"
3598368,77,"Transport/ travel options around New Zealand"
3600628,78,"Compare prices / find deals"
3600628,80,"Attractions / Activities"
3598368,74,"General information about the region you were in"
3599245,85,"Attractions / Activities"
3599182,78,"General information about the region you were in"
3599182,81,"Attractions / Activities"
3599246,82,"Compare prices / find deals"
3598383,106,"General information about the region you were in"
3599246,83,"Directions"
3599246,85,"Suggested itineraries"
3599182,82,"Suggested itineraries"
3599246,81,"Maps"
3598383,107,"Maps"
3599260,90,"Maps"
3598386,98,"Maps"
3599246,84,"Accommodation in a different region"
3598383,108,"Event information"
3600680,76,"Information about amenities/services for the town you were in"
3598386,100,"Information about amenities/services for the town you were in"
3598386,101,"Accommodation in the region you were in"
3598386,102,"Accommodation in a different region"
3598383,109,"Attractions / Activities"
3599260,89,"General information about the region you were in"
3600680,75,"Access to resources to assist you to plan"
3599184,84,"Accommodation in the region you were in"
3599184,85,"Accommodation in a different region"
3600680,74,"General information about the region you were in"
3600680,77,"Attractions / Activities"
3598386,99,"Overview of NZ regions"
3598386,103,"Attractions / Activities"
3599184,83,"Compare prices / find deals"
3599184,86,"Attractions / Activities"
3598399,83,"General information about the region you were in"
3599184,82,"Maps"
3598399,84,"Maps"
3600701,129,"Maps"
3599262,90,"Maps"
3598417,112,"Weather information"
3599260,91,"Directions"
3598399,85,"General information about a different region"
3599262,89,"Access to resources to assist you to plan"
3600701,130,"General information about a different region"
3600701,132,"Suggested itineraries"
3599262,91,"Directions"
3598417,113,"Directions"
3598417,115,"General information about a different region"
3599189,86,"General information about the region you were in"
3599189,87,"Check/confirm existing travel plans"
3600701,128,"General information about the region you were in"
3600701,131,"Attractions / Activities"
3599262,92,"Attractions / Activities"
3598417,114,"Overview of NZ regions"
3598417,117,"Attractions / Activities"
3599189,89,"Attractions / Activities"
3598399,86,"Accommodation in the region you were in"
3598417,116,"Information about amenities/services for the town you were in"
3598417,118,"Suggested itineraries"
3599207,89,"Access to resources to assist you to plan"
3599189,88,"Maps"
3598418,74,"Internet access"
3598419,98,"Weather information"
3598419,99,"Maps"
3599312,79,"Maps"
3599312,81,"Directions"
3600760,75,"Directions"
3599312,83,"General information about a different region"
3599312,84,"Information about amenities/services for the town you were in"
3599207,93,"Information about amenities/services for the town you were in"
3598419,101,"Accommodation in the region you were in"
3599207,92,"Information about Maori culture / cultural activities"
3599207,95,"Suggested itineraries"
3599207,88,"General information about the region you were in"
3600760,74,"Maps"
3599207,90,"Weather information"
3599312,80,"Compare prices / find deals"
3599312,82,"Overview of NZ regions"
3599312,85,"Attractions / Activities"
3599207,94,"Attractions / Activities"
3598419,100,"Overview of NZ regions"
3598419,102,"Attractions / Activities"
3599234,73,"General information about the region you were in"
3599347,91,"Compare prices / find deals"
3599207,91,"Maps"
3599234,75,"Maps"
3599347,90,"Maps"
3598466,101,"Weather information"
3598466,102,"Maps"
3598466,103,"Internet access"
3599234,74,"Access to resources to assist you to plan"
3599234,76,"Suggested itineraries"
3599347,92,"General information about a different region"
3598466,104,"Directions"
3600821,123,"Access to resources to assist you to plan"
3600821,125,"General information about a different region"
3599347,95,"Attractions / Activities"
3598466,106,"Attractions / Activities"
3600821,121,"General information about the region you were in"
3600821,122,"Check/confirm existing travel plans"
3600821,124,"Maps"
3599360,87,"Maps"
3599250,86,"Compare prices / find deals"
3599250,87,"Attractions / Activities"
3599360,85,"General information about the region you were in"
3599360,86,"Check/confirm existing travel plans"
3599360,88,"Compare prices / find deals"
3598467,109,"General information about the region you were in"
3599257,88,"Maps"
3598467,110,"Weather information"
3599360,89,"Directions"
3599360,91,"Suggested itineraries"
3598450,100,"Information about amenities/services for the town you were in"
3599347,93,"Accommodation in the region you were in"
3599347,94,"Accommodation in a different region"
3598466,105,"Event information"
3599360,90,"Flights within New Zealand"
3599257,90,"Directions"
3599257,91,"Suggested itineraries"
3600830,83,"Internet access"
3599394,83,"Access to resources to assist you to plan"
3598483,90,"Maps"
3599394,84,"Weather information"
3598467,111,"Attractions / Activities"
3600830,82,"General information about the region you were in"
3599257,89,"Compare prices / find deals"
3600830,84,"Overview of NZ regions"
3600830,86,"Attractions / Activities"
3599394,82,"General information about the region you were in"
3600830,85,"Transport/ travel options around New Zealand"
3599266,88,"Maps"
3600855,104,"Maps"
3600855,105,"Internet access"
3598485,123,"Maps"
3599413,97,"Maps"
3599266,89,"Information about amenities/services for the town you were in"
3598485,124,"Transport/ travel options around New Zealand"
3599394,85,"Compare prices / find deals"
3599266,87,"General information about the region you were in"
3598483,91,"Attractions / Activities"
3600855,103,"General information about the region you were in"
3599394,86,"Suggested itineraries"
3599266,90,"Suggested itineraries"
3600855,106,"Directions"
3600855,107,"General information about a different region"
3598485,122,"Access to resources to assist you to plan"
3599307,81,"Maps"
3599427,84,"Weather information"
3600871,79,"Maps"
3599427,85,"Maps"
3600855,108,"Attractions / Activities"
3598485,125,"Attractions / Activities"
3599413,98,"Compare prices / find deals"
3599413,102,"Attractions / Activities"
3599307,80,"General information about the region you were in"
3599307,82,"Compare prices / find deals"
3599427,88,"Attractions / Activities"
3599413,99,"Directions"
3599427,89,"Suggested itineraries"
3599413,100,"Information about amenities/services for the town you were in"
3599413,101,"Transport/ travel options around New Zealand"
3599307,83,"Information about amenities/services for the town you were in"
3599427,86,"Accommodation in the region you were in"
3599427,87,"Event information"
3600871,80,"Accommodation in the region you were in"
3599307,85,"Suggested itineraries"
3598533,70,"Access to resources to assist you to plan"
3598533,71,"Maps"
3599463,76,"Maps"
3598533,69,"General information about the region you were in"
3598533,72,"Compare prices / find deals"
3599316,73,"General information about the region you were in"
3598533,73,"Overview of NZ regions"
3599463,77,"Directions"
3598533,74,"General information about a different region"
3599307,84,"Accommodation in a different region"
3600896,80,"Transport/ travel options around New Zealand"
3599316,74,"See ratings by other travellers"
3599463,78,"Transport/ travel options around New Zealand"
3598533,75,"See ratings by other travellers"
3598533,76,"Information about amenities/services for the town you were in"
3598533,77,"Accommodation in the region you were in"
3598533,78,"Accommodation in a different region"
3598533,79,"Transport/ travel options around New Zealand"
3598533,80,"Flights within New Zealand"
3598533,81,"Event information"
3598533,83,"Suggested itineraries"
3598533,82,"Attractions / Activities"
3599316,76,"Attractions / Activities"
3600962,90,"General information about the region you were in"
3599316,75,"Information about amenities/services for the town you were in"
3600962,91,"Access to resources to assist you to plan"
3599316,77,"Suggested itineraries"
3600962,94,"Information about Maori culture / cultural activities"
3599513,91,"General information about the region you were in"
3600962,95,"Overview of NZ regions"
3599513,93,"Attractions / Activities"
3600962,92,"Weather information"
3600962,93,"Maps"
3598568,105,"Maps"
3599514,99,"Directions"
3599514,100,"General information about a different region"
3600962,101,"Suggested itineraries"
3599513,92,"Information about amenities/services for the town you were in"
3600962,96,"Information about amenities/services for the town you were in"
3600962,97,"Accommodation in the region you were in"
3600962,98,"Accommodation in a different region"
3600962,99,"Event information"
3599359,89,"Information about amenities/services for the town you were in"
3599514,97,"General information about the region you were in"
3598568,104,"General information about the region you were in"
3599514,98,"Check/confirm existing travel plans"
3598568,106,"Attractions / Activities"
3600962,100,"Attractions / Activities"
3599359,88,"General information about the region you were in"
3599359,90,"Attractions / Activities"
3599529,88,"General information about the region you were in"
3598584,91,"Maps"
3601053,82,"Weather information"
3599529,91,"Attractions / Activities"
3599382,87,"General information about the region you were in"
3601053,84,"Compare prices / find deals"
3601053,88,"Attractions / Activities"
3599530,84,"Information about amenities/services for the town you were in"
3599529,89,"Information about Maori culture / cultural activities"
3601053,86,"See ratings by other travellers"
3601053,87,"Event information"
3599529,90,"Directions"
3599529,92,"Suggested itineraries"
3598584,92,"Directions"
3598584,93,"Suggested itineraries"
3601053,85,"Directions"
3601053,89,"Suggested itineraries"
3599382,90,"Suggested itineraries"
