"SurveyResponseID","AnswerNumber","HobbitExpType"
3558436,107,"I wanted to visit Hobbiton"
3558457,151,"The scenery"
3558457,152,"Wanted to see if the scenery was like it was in the film"
3558460,208,"The scenery"
3558460,209,"Wanted to see if the scenery was like it was in the film"
3558460,210,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558460,211,"Wanted to see where the film was made"
3558460,212,"I wanted to visit Hobbiton"
3558467,197,"The scenery"
3558475,127,"The scenery"
3558475,128,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558475,129,"Wanted to see where the film was made"
3558521,137,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558533,135,"The scenery"
3558533,136,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558533,137,"Wanted to see where the film was made"
3558533,138,"I wanted to visit Hobbiton"
3558533,139,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558535,115,"The scenery"
3558535,116,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558535,117,"I wanted to visit Hobbiton"
3558535,118,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558537,102,"Wanted to see where the film was made"
3558537,103,"I wanted to visit Hobbiton"
3558537,104,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558549,119,"The scenery"
3558572,126,"The scenery"
3558572,127,"Wanted to see if the scenery was like it was in the film"
3558572,128,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558572,129,"Wanted to see where the film was made"
3558572,130,"I wanted to visit Hobbiton"
3558572,131,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558589,101,"The scenery"
3558589,102,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558620,102,"The scenery"
3558620,103,"Wanted to see where the film was made"
3558620,104,"I wanted to visit Hobbiton"
3558620,105,"Something else"
3558633,117,"The scenery"
3558633,118,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558633,119,"Wanted to see where the film was made"
3558633,120,"I wanted to visit Hobbiton"
3558633,121,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558658,115,"Wanted to see if the scenery was like it was in the film"
3558658,116,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558658,117,"I wanted to visit Hobbiton"
3558688,132,"Wanted to see if the scenery was like it was in the film"
3558688,133,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558688,134,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558696,134,"Wanted to see if the scenery was like it was in the film"
3558696,135,"Wanted to see where the film was made"
3558696,136,"I wanted to visit Hobbiton"
3558696,137,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558699,126,"The scenery"
3558702,123,"The scenery"
3558702,124,"Wanted to see if the scenery was like it was in the film"
3558702,125,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558702,126,"I wanted to visit Hobbiton"
3558721,141,"The scenery"
3558721,142,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558721,143,"I wanted to visit Hobbiton"
3558722,173,"The scenery"
3558724,106,"The scenery"
3558724,107,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558730,141,"The scenery"
3558730,142,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558730,143,"I wanted to visit Hobbiton"
3558730,144,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558735,130,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558739,107,"Wanted to see if the scenery was like it was in the film"
3558739,108,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558740,94,"The scenery"
3558798,107,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558820,93,"The scenery"
3558820,94,"Wanted to see if the scenery was like it was in the film"
3558820,95,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558820,96,"Wanted to see where the film was made"
3558820,97,"I wanted to visit Hobbiton"
3558848,141,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558848,142,"Wanted to see where the film was made"
3558848,143,"I wanted to visit Hobbiton"
3558848,144,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558852,132,"Wanted to see where the film was made"
3558852,133,"I wanted to visit Hobbiton"
3558863,121,"The scenery"
3558863,122,"Wanted to see if the scenery was like it was in the film"
3558863,123,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558863,124,"Wanted to see where the film was made"
3558863,125,"I wanted to visit Hobbiton"
3558863,126,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558873,130,"The scenery"
3558873,131,"Wanted to see if the scenery was like it was in the film"
3558873,132,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558873,133,"Wanted to see where the film was made"
3558873,134,"I wanted to visit Hobbiton"
3558890,95,"I wanted to visit Hobbiton"
3558927,160,"The scenery"
3558927,161,"Wanted to see if the scenery was like it was in the film"
3558927,162,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3558927,163,"Wanted to see where the film was made"
3558927,164,"I wanted to visit Hobbiton"
3558927,165,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558983,129,"Wanted to see if the scenery was like it was in the film"
3558983,130,"Wanted to see where the film was made"
3558983,131,"I wanted to visit Hobbiton"
3558983,132,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3558985,114,"Wanted to see where the film was made"
3559020,96,"The scenery"
3559020,97,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559032,115,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559032,116,"Wanted to see where the film was made"
3559032,117,"I wanted to visit Hobbiton"
3559166,98,"The scenery"
3559166,99,"Wanted to see if the scenery was like it was in the film"
3559166,100,"Wanted to see where the film was made"
3559186,107,"The scenery"
3559186,108,"I wanted to visit Hobbiton"
3559228,152,"The scenery"
3559232,164,"The scenery"
3559232,165,"Wanted to see if the scenery was like it was in the film"
3559232,166,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559232,167,"Wanted to see where the film was made"
3559232,168,"I wanted to visit Hobbiton"
3559232,169,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559233,165,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559259,119,"Wanted to see where the film was made"
3559259,120,"I wanted to visit Hobbiton"
3559262,124,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559263,117,"The scenery"
3559263,118,"Wanted to see if the scenery was like it was in the film"
3559300,139,"The scenery"
3559300,140,"Wanted to see if the scenery was like it was in the film"
3559300,141,"I wanted to visit Hobbiton"
3559300,142,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559309,155,"The scenery"
3559309,156,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559309,157,"Wanted to see where the film was made"
3559309,158,"I wanted to visit Hobbiton"
3559309,159,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559352,124,"Wanted to see if the scenery was like it was in the film"
3559352,125,"Wanted to see where the film was made"
3559352,126,"I wanted to visit Hobbiton"
3559354,123,"The scenery"
3559354,124,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559366,120,"The scenery"
3559366,121,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559381,125,"The scenery"
3559381,126,"I wanted to visit Hobbiton"
3559400,135,"The scenery"
3559400,136,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559403,135,"The scenery"
3559403,136,"Wanted to see if the scenery was like it was in the film"
3559403,137,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559403,138,"I wanted to visit Hobbiton"
3559418,141,"The scenery"
3559418,142,"Wanted to see if the scenery was like it was in the film"
3559418,143,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559418,144,"Wanted to see where the film was made"
3559418,145,"I wanted to visit Hobbiton"
3559418,146,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559432,106,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3559457,101,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559458,89,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559483,140,"The scenery"
3559483,141,"Wanted to see if the scenery was like it was in the film"
3559483,142,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559489,140,"The scenery"
3559489,141,"Wanted to see if the scenery was like it was in the film"
3559489,142,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3559489,143,"I wanted to visit Hobbiton"
