"SurveyResponseID","AnswerNumber","AmenityType","SatisfactionRatingReason"
3558110,99,"Activities experienced","Another reason"
3557898,112,"Food & beverage outlets","Too expensive"
3557932,115,"Customer service","Staff didn't care"
3558086,95,"Customer service","Staff didn't care"
3558008,116,"Maori activities experienced","Learnt about a new culture"
3557933,113,"Maori activities experienced","Not very exciting/boring"
3558111,108,"Customer service","Staff didn't care"
3557898,113,"Food & beverage outlets","Limited choices"
3558008,118,"Maori activities experienced","Not very exciting/boring"
3558080,117,"Maori activities experienced","Did not live up to expectations"
3558024,150,"i-Sites","Shut too early/short opening hours"
3557964,101,"Food & beverage outlets","Poor food quality"
3557965,83,"Accommodation","No free internet"
3558080,116,"Maori activities experienced","Entertaining"
3558024,149,"Customer service","Staff not friendly"
3557964,100,"Food & beverage outlets","Too expensive"
3557965,84,"Food & beverage outlets","No reason"
3558119,127,"Food & beverage outlets","Too expensive"
3558119,129,"Food & beverage outlets","Not as good as you get overseas"
3558024,151,"i-Sites","Lack of knowledge on free attractions"
3558072,165,"Accommodation","Too expensive"
3558138,84,"NZ environment","More effort to preserve natural environment requir"
3558119,128,"Food & beverage outlets","Limited choices"
3558119,130,"Food & beverage outlets","Supermarkets lack of variety"
3558000,123,"Commercial transport","Another reason"
3558119,132,"Commercial transport","Rental car/company did not meet expectations"
3558072,167,"Accommodation","Poor value for money"
3558073,162,"Activities experienced","Another reason"
3558119,133,"Commercial transport","Inconvenient public transportation"
3558143,80,"Activities experienced","Another reason"
3558161,102,"Food & beverage outlets","No reason"
3558119,131,"Commercial transport","Expensive"
3558072,166,"Accommodation","No free internet"
3558130,118,"Sense of safety","Felt unsafe"
3558177,144,"Food & beverage outlets","Too expensive"
3558130,115,"Accommodation","Too expensive"
3558122,92,"Customer service","Not sure"
3558128,113,"Maori activities experienced","No reason"
3558130,116,"Accommodation","Poor standard of cleanliness/dirty"
3558130,114,"Accommodation","Poor/old facilities"
3558130,117,"Accommodation","Noisy"
3558017,92,"Activities experienced","Have to cancel the activity due to weather/road  c"
3558030,87,"Commercial transport","No reason"
3558153,91,"Sense of safety","Not sure"
3558017,90,"Food & beverage outlets","Too expensive"
3558144,117,"Accommodation","No air-conditioning/heating inadequate"
3558144,116,"Accommodation","Poor/old facilities"
3558017,91,"Food & beverage outlets","Alcohol too expensive"
3558144,118,"NZ environment","Weather"
3558144,119,"NZ environment","Litter"
3558187,84,"Food & beverage outlets","Limited choices"
3558270,120,"Food & beverage outlets","Limited choices"
3558173,80,"Activities experienced","Another reason"
3558082,92,"Activities experienced","No reason"
3558097,120,"Activities experienced","Have to cancel the activity due to weather/road  c"
3558172,99,"Accommodation","Another reason"
3558098,81,"Sense of safety","Another reason"
3558206,94,"Commercial transport","No reason"
3558256,115,"Commercial transport","Another reason"
3558131,130,"Food & beverage outlets","Not as good as you get overseas"
3558271,140,"Food & beverage outlets","Limited choices"
3558187,83,"Food & beverage outlets","Too expensive"
3558270,121,"Food & beverage outlets","Alcohol too expensive"
3558097,119,"Activities experienced","Too expensive"
3558279,84,"Customer service","Not sure"
3558228,88,"NZ environment","Not sure"
3558131,129,"Food & beverage outlets","Too expensive"
3558242,113,"Commercial transport","Inconvenient public transportation"
3558336,85,"Commercial transport","Inconvenient public transportation"
3558257,85,"Food & beverage outlets","Too expensive"
3558336,86,"Commercial transport","The transport was delayed"
3558275,96,"Commercial transport","Expensive"
3558258,109,"Accommodation","Another reason"
3558354,81,"Food & beverage outlets","Too expensive"
3558338,109,"Food & beverage outlets","Limited choices"
3558258,108,"Accommodation","No air-conditioning/heating inadequate"
3558275,97,"Commercial transport","Inconvenient public transportation"
3558275,98,"Commercial transport","The transport was delayed"
3558257,86,"Food & beverage outlets","Alcohol too expensive"
3558219,82,"Activities experienced","Not sure"
3558354,82,"Activities experienced","Too expensive"
3558280,85,"Activities experienced","Another reason"
3558275,99,"Sense of safety","Felt unsafe"
3558329,99,"Customer service","Another reason"
3558150,104,"Customer service","Staff seemed rushed"
3558215,98,"Accommodation","No free internet"
3558215,99,"Accommodation","Generally poor standard"
3558364,87,"Commercial transport","Expensive"
3558346,110,"i-Sites","Another reason"
3558215,100,"Accommodation","Noisy"
3558307,169,"Accommodation","Poor customer service"
3558217,138,"Food & beverage outlets","Not as good as you get overseas"
3558216,89,"Commercial transport","Inconvenient public transportation"
3558215,97,"Accommodation","Poor/old facilities"
3558307,170,"Accommodation","Poor standard of cleanliness/dirty"
3558217,139,"Food & beverage outlets","Alcohol too expensive"
3558369,103,"Activities experienced","Not sure"
3558341,111,"Customer service","Staff not knowledgeable"
3558370,97,"Customer service","Not sure"
3558215,101,"Activities experienced","Too expensive"
3558265,113,"NZ environment","More effort to preserve natural environment requir"
3558455,95,"Food & beverage outlets","Too expensive"
3558325,108,"Food & beverage outlets","Alcohol too expensive"
3558455,97,"Activities experienced","Too expensive"
3558397,106,"Accommodation","Too expensive"
3558394,105,"Food & beverage outlets","Another reason"
3558217,137,"Food & beverage outlets","Too expensive"
3558325,107,"Food & beverage outlets","Poor food quality"
3558346,111,"Sense of safety","Another reason"
3558420,164,"i-Sites","Poor customer service"
3558265,112,"NZ environment","Urban sprawl"
3558282,113,"Accommodation","Poor/old facilities"
3558420,165,"i-Sites","Only had local information"
3558282,114,"Accommodation","No air-conditioning/heating inadequate"
3558414,105,"Commercial transport","Another reason"
3558284,85,"Food & beverage outlets","Limited choices"
3558538,107,"NZ environment","Weather"
3558478,112,"Food & beverage outlets","Too expensive"
3558455,96,"Food & beverage outlets","Alcohol too expensive"
3558436,95,"NZ environment","Weather"
3558357,115,"Food & beverage outlets","Not as good as you get overseas"
3558284,86,"Food & beverage outlets","Not as good as you get overseas"
3558478,113,"Food & beverage outlets","Another reason"
3558357,114,"Food & beverage outlets","Too expensive"
3558359,130,"Maori activities experienced","Well organised"
3558538,105,"Activities experienced","Too expensive"
3558538,108,"NZ environment","Another reason"
3558333,132,"Food & beverage outlets","Another reason"
3558469,102,"Commercial transport","Poor customer service"
3558469,103,"Commercial transport","Another reason"
3558217,140,"Commercial transport","The transport was delayed"
3558317,113,"Commercial transport","No reason"
3558446,98,"Commercial transport","Expensive"
3558456,109,"Food & beverage outlets","Poor food quality"
3558425,90,"Commercial transport","Expensive"
3558284,87,"Food & beverage outlets","Poor food quality"
3558359,129,"Maori activities experienced","Entertaining"
3558374,105,"Activities experienced","No reason"
3558440,105,"Commercial transport","Expensive"
3558538,106,"Activities experienced","Have to cancel the activity due to weather/road  c"
3558425,91,"Commercial transport","Poor customer service"
3558349,96,"Commercial transport","Another reason"
3558350,113,"Customer service","Slow"
3558368,103,"Commercial transport","Another reason"
3558351,104,"Food & beverage outlets","Not as good as you get overseas"
3558519,120,"Accommodation","Noisy"
3558547,138,"i-Sites","Too busy/long queues"
3558586,104,"Accommodation","Poor value for money"
3558351,105,"Food & beverage outlets","Alcohol too expensive"
3558586,103,"Accommodation","Poor/old facilities"
3558557,112,"Customer service","Staff didn't care"
3558399,85,"Customer service","Staff didn't care"
3558557,113,"Customer service","Staff not knowledgeable"
3558493,99,"Accommodation","No air-conditioning/heating inadequate"
3558366,103,"Customer service","No reason"
