"SurveyResponseID","AnswerNumber","TechnologyType"
3557727,157,"Smart phone"
3557743,182,"Smart phone"
3557974,122,"Your own laptop or iPad/tablet"
3557894,133,"Wi-fi internet locations"
3557990,121,"Your own laptop or iPad/tablet"
3557750,174,"Wi-fi internet locations"
3557894,132,"Smart phone"
3557750,173,"Smart phone"
3557750,175,"Your own laptop or iPad/tablet"
3557991,124,"Wi-fi internet locations"
3557990,120,"Smart phone"
3557991,123,"Smart phone"
3557912,114,"Wi-fi internet locations"
3557912,115,"Your own laptop or iPad/tablet"
3557754,113,"Wi-fi internet locations"
3558006,165,"Wi-fi internet locations"
3558006,166,"Your own laptop or iPad/tablet"
3557754,114,"Your own laptop or iPad/tablet"
3557912,113,"Smart phone"
3558005,128,"Smart phone"
3557754,112,"Smart phone"
3558006,164,"Smart phone"
3557944,111,"Wi-fi internet locations"
3558008,144,"Wi-fi internet locations"
3558008,145,"Your own laptop or iPad/tablet"
3557951,113,"Wi-fi internet locations"
3557951,114,"Your own laptop or iPad/tablet"
3558023,151,"Your own laptop or iPad/tablet"
3558008,143,"Smart phone"
3557951,112,"Smart phone"
3558023,150,"Smart phone"
3557953,142,"Smart phone"
3557953,143,"Wi-fi internet locations"
3557953,144,"Your own laptop or iPad/tablet"
3557784,116,"Wi-fi internet locations"
3557784,117,"Your own laptop or iPad/tablet"
3557960,131,"Your own laptop or iPad/tablet"
3557793,105,"Wi-fi internet locations"
3557784,115,"Smart phone"
3557960,130,"Smart phone"
3558024,179,"Smart phone"
3557793,104,"Smart phone"
3557793,106,"Your own laptop or iPad/tablet"
3558024,180,"Wi-fi internet locations"
3558024,181,"Your own laptop or iPad/tablet"
3557809,104,"Wi-fi internet locations"
3558072,196,"Your own laptop or iPad/tablet"
3557820,106,"Wi-fi internet locations"
3557971,100,"None of these"
3558072,195,"Smart phone"
3557994,111,"None of these"
3557996,106,"Internet cafes"
3557996,107,"Wi-fi internet locations"
3557996,108,"Your own laptop or iPad/tablet"
3558073,192,"Your own laptop or iPad/tablet"
3557827,150,"Wi-fi internet locations"
3558092,103,"Wi-fi internet locations"
3557996,105,"Smart phone"
3558073,191,"Smart phone"
3557827,149,"Smart phone"
3558108,187,"Smart phone"
3557827,151,"Your own laptop or iPad/tablet"
3558108,188,"Internet cafes"
3558108,189,"Wi-fi internet locations"
3558010,128,"Smart phone"
3557829,139,"Smart phone"
3558108,190,"Your own laptop or iPad/tablet"
3557829,140,"Internet cafes"
3557829,141,"Wi-fi internet locations"
3557829,142,"Your own laptop or iPad/tablet"
3558012,139,"Smart phone"
3558019,110,"Smart phone"
3558122,112,"Wi-fi internet locations"
3558012,140,"Internet cafes"
3558012,141,"Wi-fi internet locations"
3558123,138,"Wi-fi internet locations"
3558123,139,"Your own laptop or iPad/tablet"
3558019,111,"Internet cafes"
3557852,124,"Smart phone"
3557854,94,"Smart phone"
3558157,105,"Smart phone"
3558028,133,"Smart phone"
3558019,112,"Wi-fi internet locations"
3558156,117,"Wi-fi internet locations"
3558019,113,"Your own laptop or iPad/tablet"
3557852,125,"Wi-fi internet locations"
3557852,126,"Your own laptop or iPad/tablet"
3557854,95,"Your own laptop or iPad/tablet"
3558172,124,"Smart phone"
3558037,111,"Smart phone"
3557861,94,"Your own laptop or iPad/tablet"
3558028,134,"Wi-fi internet locations"
3558158,99,"Wi-fi internet locations"
3558028,135,"Your own laptop or iPad/tablet"
3558172,125,"Wi-fi internet locations"
3558037,112,"Wi-fi internet locations"
3558175,114,"Smart phone"
