"SurveyResponseID","AnswerNumber","InformationSourceUsed"
3627125,155,"i-SITE Visitor Information Centre(s)"
3627141,138,"i-SITE Visitor Information Centre(s)"
3627142,117,"i-SITE Visitor Information Centre(s)"
3627152,126,"i-SITE Visitor Information Centre(s)"
3627158,178,"i-SITE Visitor Information Centre(s)"
3627166,136,"i-SITE Visitor Information Centre(s)"
3627167,104,"i-SITE Visitor Information Centre(s)"
3627172,108,"i-SITE Visitor Information Centre(s)"
3627193,163,"i-SITE Visitor Information Centre(s)"
3627210,118,"i-SITE Visitor Information Centre(s)"
3627212,120,"i-SITE Visitor Information Centre(s)"
3627226,138,"i-SITE Visitor Information Centre(s)"
3627238,145,"i-SITE Visitor Information Centre(s)"
3627236,126,"i-SITE Visitor Information Centre(s)"
3627243,117,"i-SITE Visitor Information Centre(s)"
3627305,154,"i-SITE Visitor Information Centre(s)"
3627315,173,"i-SITE Visitor Information Centre(s)"
3627345,147,"i-SITE Visitor Information Centre(s)"
3627350,135,"i-SITE Visitor Information Centre(s)"
3627359,129,"i-SITE Visitor Information Centre(s)"
3627367,104,"i-SITE Visitor Information Centre(s)"
3627368,129,"i-SITE Visitor Information Centre(s)"
3627409,110,"i-SITE Visitor Information Centre(s)"
3627430,137,"i-SITE Visitor Information Centre(s)"
3627443,128,"i-SITE Visitor Information Centre(s)"
3627481,164,"i-SITE Visitor Information Centre(s)"
3628540,128,"i-SITE Visitor Information Centre(s)"
3628552,138,"i-SITE Visitor Information Centre(s)"
3628555,182,"i-SITE Visitor Information Centre(s)"
3628558,114,"i-SITE Visitor Information Centre(s)"
3628584,130,"i-SITE Visitor Information Centre(s)"
3628596,155,"i-SITE Visitor Information Centre(s)"
3628601,107,"i-SITE Visitor Information Centre(s)"
3628621,138,"i-SITE Visitor Information Centre(s)"
3628626,133,"i-SITE Visitor Information Centre(s)"
3628642,136,"i-SITE Visitor Information Centre(s)"
3628660,135,"i-SITE Visitor Information Centre(s)"
3628668,132,"i-SITE Visitor Information Centre(s)"
3628671,138,"i-SITE Visitor Information Centre(s)"
3628679,184,"i-SITE Visitor Information Centre(s)"
3628685,155,"i-SITE Visitor Information Centre(s)"
3628703,135,"i-SITE Visitor Information Centre(s)"
3628794,144,"i-SITE Visitor Information Centre(s)"
3628795,108,"i-SITE Visitor Information Centre(s)"
3628805,228,"i-SITE Visitor Information Centre(s)"
3628858,131,"i-SITE Visitor Information Centre(s)"
3628860,216,"i-SITE Visitor Information Centre(s)"
3628881,129,"i-SITE Visitor Information Centre(s)"
3628883,147,"i-SITE Visitor Information Centre(s)"
3628904,142,"i-SITE Visitor Information Centre(s)"
3628913,171,"i-SITE Visitor Information Centre(s)"
3628916,128,"i-SITE Visitor Information Centre(s)"
3628921,147,"i-SITE Visitor Information Centre(s)"
3628926,176,"i-SITE Visitor Information Centre(s)"
3628981,161,"i-SITE Visitor Information Centre(s)"
3628991,150,"i-SITE Visitor Information Centre(s)"
3628992,128,"i-SITE Visitor Information Centre(s)"
3628999,164,"i-SITE Visitor Information Centre(s)"
3629033,101,"i-SITE Visitor Information Centre(s)"
3629042,127,"i-SITE Visitor Information Centre(s)"
3629044,138,"i-SITE Visitor Information Centre(s)"
3629046,129,"i-SITE Visitor Information Centre(s)"
3629077,123,"i-SITE Visitor Information Centre(s)"
3629101,145,"i-SITE Visitor Information Centre(s)"
3629102,134,"i-SITE Visitor Information Centre(s)"
3629106,129,"i-SITE Visitor Information Centre(s)"
3629109,126,"i-SITE Visitor Information Centre(s)"
3629132,196,"i-SITE Visitor Information Centre(s)"
3629151,124,"i-SITE Visitor Information Centre(s)"
3629175,119,"i-SITE Visitor Information Centre(s)"
3629177,141,"i-SITE Visitor Information Centre(s)"
3629197,142,"i-SITE Visitor Information Centre(s)"
3629232,123,"i-SITE Visitor Information Centre(s)"
3629227,139,"i-SITE Visitor Information Centre(s)"
3629255,114,"i-SITE Visitor Information Centre(s)"
3629280,117,"i-SITE Visitor Information Centre(s)"
3629285,158,"i-SITE Visitor Information Centre(s)"
3629299,127,"i-SITE Visitor Information Centre(s)"
3629310,143,"i-SITE Visitor Information Centre(s)"
3629359,132,"i-SITE Visitor Information Centre(s)"
3629405,146,"i-SITE Visitor Information Centre(s)"
3629429,114,"i-SITE Visitor Information Centre(s)"
3629434,150,"i-SITE Visitor Information Centre(s)"
3629435,149,"i-SITE Visitor Information Centre(s)"
3629458,138,"i-SITE Visitor Information Centre(s)"
3629472,121,"i-SITE Visitor Information Centre(s)"
3629480,137,"i-SITE Visitor Information Centre(s)"
3629516,184,"i-SITE Visitor Information Centre(s)"
3629523,130,"i-SITE Visitor Information Centre(s)"
3629530,123,"i-SITE Visitor Information Centre(s)"
3629547,126,"i-SITE Visitor Information Centre(s)"
3629545,149,"i-SITE Visitor Information Centre(s)"
3629567,129,"i-SITE Visitor Information Centre(s)"
3629636,120,"i-SITE Visitor Information Centre(s)"
3629654,116,"i-SITE Visitor Information Centre(s)"
3629663,144,"i-SITE Visitor Information Centre(s)"
3629718,98,"i-SITE Visitor Information Centre(s)"
3629726,109,"i-SITE Visitor Information Centre(s)"
3629731,158,"i-SITE Visitor Information Centre(s)"
3629754,131,"i-SITE Visitor Information Centre(s)"
3629764,117,"i-SITE Visitor Information Centre(s)"
3629786,143,"i-SITE Visitor Information Centre(s)"
