"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3557657,145,"Facebook","Planning trip to NZ"
3557685,122,"Facebook","During trip to NZ"
3557657,147,"None of these","After trip to NZ"
3557654,107,"None of these","Planning trip to NZ"
3557676,135,"Facebook","Planning trip to NZ"
3557657,146,"Facebook","During trip to NZ"
3557676,136,"Instagram","Planning trip to NZ"
3557685,121,"Facebook","Planning trip to NZ"
3557599,109,"Google+","During trip to NZ"
3557693,130,"None of these","After trip to NZ"
3557599,110,"None of these","After trip to NZ"
3557693,129,"Google+","During trip to NZ"
3557687,163,"None of these","Planning trip to NZ"
3557613,146,"Instagram","Planning trip to NZ"
3557687,165,"None of these","After trip to NZ"
3557599,108,"Google+","Planning trip to NZ"
3557712,117,"Facebook","Planning trip to NZ"
3557674,165,"Google+","During trip to NZ"
3557694,116,"Facebook","During trip to NZ"
3557702,125,"Facebook","After trip to NZ"
3557674,166,"None of these","After trip to NZ"
3557694,117,"Facebook","After trip to NZ"
3557717,150,"Facebook","Planning trip to NZ"
3557702,124,"Facebook","During trip to NZ"
3557687,164,"None of these","During trip to NZ"
3557693,128,"Google+","Planning trip to NZ"
3557702,123,"Facebook","Planning trip to NZ"
3557674,164,"Google+","Planning trip to NZ"
3557694,115,"Facebook","Planning trip to NZ"
3557614,188,"Google+","Planning trip to NZ"
3557727,171,"None of these","Planning trip to NZ"
3557613,147,"Instagram","During trip to NZ"
3557712,119,"Facebook","After trip to NZ"
3557712,118,"Facebook","During trip to NZ"
3557613,148,"None of these","After trip to NZ"
3557727,173,"Facebook","After trip to NZ"
3557614,190,"Google+","During trip to NZ"
3557614,191,"Facebook","After trip to NZ"
3557706,164,"Google+","During trip to NZ"
3557743,202,"None of these","After trip to NZ"
3557616,114,"Facebook","During trip to NZ"
3557706,167,"Twitter","After trip to NZ"
3557706,161,"Facebook","Planning trip to NZ"
3557706,166,"Facebook","After trip to NZ"
3557706,163,"Wechat","Planning trip to NZ"
3557616,113,"None of these","Planning trip to NZ"
3557706,162,"Google+","Planning trip to NZ"
3557743,200,"None of these","Planning trip to NZ"
3557616,115,"Facebook","After trip to NZ"
3557707,104,"Google+","Planning trip to NZ"
3557708,98,"Google+","During trip to NZ"
3557717,152,"Facebook","During trip to NZ"
3557707,106,"None of these","After trip to NZ"
3557708,99,"Google+","After trip to NZ"
3557750,197,"None of these","During trip to NZ"
3557717,153,"Facebook","After trip to NZ"
3557727,172,"Facebook","During trip to NZ"
3557614,189,"Facebook","During trip to NZ"
3557614,192,"Google+","After trip to NZ"
3557743,201,"None of these","During trip to NZ"
3557706,165,"Wechat","During trip to NZ"
3557717,151,"Pinterest","Planning trip to NZ"
3557707,105,"None of these","During trip to NZ"
3557722,159,"None of these","During trip to NZ"
3557737,147,"Facebook","After trip to NZ"
3557750,196,"None of these","Planning trip to NZ"
3557722,160,"Facebook","After trip to NZ"
3557737,146,"Facebook","During trip to NZ"
3557647,125,"None of these","Planning trip to NZ"
3557744,169,"Instagram","Planning trip to NZ"
3557754,124,"Facebook","Planning trip to NZ"
3557648,164,"Facebook","Planning trip to NZ"
3557742,165,"None of these","After trip to NZ"
3557708,97,"Google+","Planning trip to NZ"
3557750,198,"None of these","After trip to NZ"
3557647,126,"None of these","During trip to NZ"
3557742,164,"None of these","During trip to NZ"
3557724,148,"Facebook","Planning trip to NZ"
3557648,166,"Instagram","During trip to NZ"
3557744,170,"Facebook","During trip to NZ"
3557784,127,"Wechat","Planning trip to NZ"
3557754,125,"Facebook","During trip to NZ"
3557648,167,"Facebook","After trip to NZ"
3557649,132,"Google+","Planning trip to NZ"
3557722,158,"None of these","Planning trip to NZ"
3557648,168,"Instagram","After trip to NZ"
3557751,228,"None of these","Planning trip to NZ"
3557744,172,"None of these","After trip to NZ"
3557737,145,"Facebook","Planning trip to NZ"
3557742,163,"None of these","Planning trip to NZ"
3557724,150,"None of these","After trip to NZ"
3557647,127,"None of these","After trip to NZ"
3557649,131,"Facebook","Planning trip to NZ"
3557754,126,"Facebook","After trip to NZ"
3557648,165,"Facebook","During trip to NZ"
3557784,129,"Instagram","During trip to NZ"
3557784,130,"Facebook","After trip to NZ"
3557649,134,"Google+","During trip to NZ"
3557756,118,"None of these","After trip to NZ"
3557751,230,"Pinterest","During trip to NZ"
3557744,171,"Instagram","During trip to NZ"
3557724,149,"Facebook","During trip to NZ"
3557784,128,"Facebook","During trip to NZ"
3557649,135,"Facebook","After trip to NZ"
3557756,117,"None of these","During trip to NZ"
3557751,231,"None of these","After trip to NZ"
3557757,101,"Facebook","During trip to NZ"
3557663,131,"None of these","After trip to NZ"
3557793,113,"Google+","During trip to NZ"
3557649,133,"Facebook","During trip to NZ"
3557751,229,"Facebook","During trip to NZ"
3557663,130,"None of these","During trip to NZ"
3557757,102,"Facebook","After trip to NZ"
